"3","to administer and optimize the Site for you","Personalization/Customization"
"3","to diagnose problems with our Site","Analytics/Research"
"3","to help identify you.","Other"
"3","to help identify you.","Other"
"3","to diagnose problems with our Site","Analytics/Research"
"3","to administer and optimize the Site for you","Personalization/Customization"
"4","to keep track of your purchases and other activity on the Site and enhance your experience on the Site. We also use cookies to deliver content specific to your interests","Personalization/Customization"
"5","In order to operate the Site","Service Operation and Security"
"5","In order to operate the Site","Service Operation and Security"
"5","In order to operate the Site","Service Operation and Security"
"5","In order to operate the Site","Service Operation and Security"
"5","provide you with information on products and services that may be of interest to you,","Marketing"
"5","provide you with information on products and services that may be of interest to you,","Marketing"
"5","provide you with information on products and services that may be of interest to you,","Marketing"
"7","to help us efficiently perform transactions on the Site, to deliver the services you have requested, to contact you when necessary in connection with events for which you purchased items and services on the Site (including event confirmations, changes and cancellations)","Basic service/feature"
"7","to send you information, offers and other promotional materials","Marketing"
"9","so they can provide us with support services such as authorization of credit card transactions, order fulfillment and sweepstakes and promotional fulfillment.","Basic service/feature"
"10","for ticketing processing","Basic service/feature"
"11","to facilitate the delivery of email.","Additional service/feature"
"12","in the unlikely event of a transfer of ownership or assets, or a bankruptcy, of CMC","Merger/Acquisition"
"12","to comply with law, to cooperate with law enforcement","Legal requirement"
"12","interests or safety","Service operation and security"
"13","to check your qualifications, to bill you for products and services and to enable you to participate in discount, rebate, and similar programs in which you may elect to participate","Other"
"13","to process your transactions","Basic service/feature"
"13","to process your transactions","Basic service/feature"
"14","to tailor the Site and communications to the interests of our users","Personalization/Customization"
"14","so that they can tailor their advertisements and communications to the appropriate audience.","Advertising"
"3","in order to administer and optimize the Site for you and to diagnose problems with our Site, and, in certain cases, to help identify you.","Service Operation and Security"
"3","the web page from which you came.","Unspecified"
"4","to save your password, and if you choose, to save other information so you do not have to re-enter it each time you visit the Site","Other"
"4","enhance your experience on the Site.","Personalization/Customization"
"4","to save your password, and if you choose, to save other information so you do not have to re-enter it each time you visit the Site","Other"
"5","In order to operate the Site and provide you with information on products and services that may be of interest to you","Basic service/feature"
"5","In order to operate the Site and provide you with information on products and services that may be of interest to you","Basic service/feature"
"5","In order to operate the Site and provide you with information on products and services that may be of interest to you","Basic service/feature"
"7","to help us efficiently perform transactions on the Site, to deliver the services you have requested, to contact you when necessary in connection with events for which you purchased items and services on the Site (including event confirmations, changes and cancellations)","Basic service/feature"
"7","and to send you information, offers and other promotional materials","Marketing"
"8","We do not share or sell email addresses gathered on the Site.","Unspecified"
"9","To process transactions on the Site,","Basic service/feature"
"11","to facilitate the delivery of email.","Basic service/feature"
"12","in the unlikely event of a transfer of ownership or assets,","Merger/Acquisition"
"12","or a bankruptcy, of CMC.","Other"
"12","when we determine that such disclosure is necessary to comply with law, to cooperate with law enforcement or to protect the interests or safety of Cincinnati Museum Center or other visitors to the Site.","Legal requirement"
"13","to check your qualifications, to bill you for products and services and to enable you to participate in discount, rebate, and similar programs in which you may elect to participate.","Basic service/feature"
"13","to process your transactions","Basic service/feature"
"13","to process your transactions","Basic service/feature"
"13","for their purposes.","Other"
"14","to tailor the Site and communications to the interests of our users.","Personalization/Customization"
"14","so that they can tailor their advertisements and communications to the appropriate audience.","Advertising"
"3","We use your IP address in order to administer and optimize the Site for you and to diagnose problems with our Site, and, in certain cases, to help identify you.","Service Operation and Security"
