"3","we can provide a more interesting and useful service","Analytics/Research"
"3","we can provide a more interesting and useful service","Analytics/Research"
"3","appropriate advertising","Advertising"
"4","send this person a one-time email","Basic service/feature"
"4","invite your friend to visit and register with our site","Marketing"
"5","that we can improve our sites and our users' respective experiences","Analytics/Research"
"5","storing information about your preferences on a site","Personalization/Customization"
"6","Gathering this information allows us to process and fulfill your order and notify you of your order status","Basic service/feature"
"8","We will let you know what data, if any, we are collecting at the time.","Unspecified"
"9","to enable the feature to function properly","Basic service/feature"
"9","enable the feature to function properly","Basic service/feature"
"9","to enable the feature to function properly","Basic service/feature"
"9","to enable the feature to function properly","Basic service/feature"
"9","enable the feature to function properly","Basic service/feature"
"9","enable the feature to function properly","Basic service/feature"
"10","post information about your activities on Fool.com to your profile page to share with others within your network.","Additional service/feature"
"10","post information about your activities on Fool.com to your profile page to share with others within your network.","Additional service/feature"
"12","To count and recognize users. To conduct research on behalf of some partners on their websites, and for auditing purposes. To determine aggregate information about users, including demographic and usage information. To determine which email messages were opened (and when), as well as acted upon when we send HTML-formatted email messages (messages resembling Web pages that include graphics).","Analytics/Research"
"14","advertisements","Advertising"
"15","help us improve our sites","Analytics/Research"
"15","find new members","Marketing"
"17","provide you, the user, with the best and most personalized experience","Personalization/Customization"
"17","to provide our advertisers with an efficient way to reach the right audience","Advertising"
"18","to help us improve your experience","Analytics/Research"
"18","We may also notify you of products, services, or areas of our site that we think may interest you based on the information we've received.","Marketing"
"19","take advantage of those products or services","Basic service/feature"
"20","to help the advertisers reach the kind of audience they want.","Advertising"
"22","consent","Unspecified"
"23","so that the advertiser or its agent can fulfill the special offer","Basic service/feature"
"24","so that they can provide you with their services","Basic service/feature"
"25","purpose of marketing Motley Fool co-branded offerings","Marketing"
"26","send you mail about their own products and services","Advertising"
"27","to fulfill your order and charge your credit card (if applicable","Basic service/feature"
"27","to fulfill your order and charge your credit card (if applicable","Basic service/feature"
"28","to email one of our articles to a friend","Additional service/feature"
"29","as required by applicable law, or in response to legal process","Legal requirement"
"29","to protect the rights or property of The Motley Fool, or to protect the safety of The Motley Fool, our users, or others.","Service operation and security"
"30","so that we can avoid sending emails to people who have asked not to receive them (or, conversely, so that our advertisers can avoid sending emails to people who have requested not to hear from them)","Other"
"32","perform their services for us, including performing system maintenance","Basic service/feature"
"32","displaying personalized content (such as portfolios), performing list analysis or management","Personalization/Customization"
"32","or sending mailings for us from our advertisers.","Advertising"
"33","used to serve ads to you","Advertising"
"33","used to serve ads to you","Advertising"
"34","site administration or order fulfillment","Basic service/feature"
"34","to notify you of products and services that may interest you.","Marketing"
"35","a merger, acquisition, or sale of all or a portion of its assets,","Merger/Acquisition"
"39","may also send you information","Marketing"
"39","we will send you information about our various products and services, or other products and services that we believe may interest you","Advertising"
