"0","Your privacy is important to us. Public Citizen does not automatically collect personal information from people who visit or interact with our website.","Unspecified"
"1","contact you about our work","Other"
"1","we do not sell, rent, trade, or otherwise disclose to any business, organization, individual, or other outside entity information provided by people who visit or interact with the website.","Unspecified"
"2","We do not disclose the information you enter on an action page to any outside entity - except as follows:","Unspecified"
"2","may be included in an electronic file or hard-copy printout delivered to legislators or other policymakers.","Other"
"2","may be included in an electronic file or hard-copy printout delivered to legislators or other policymakers.","Other"
"2","If you email a member of Congress or other policymaker, submit a comment to a government agency, send a letter-to-the-editor, or take any other action that generates a communication to an outside entity","Other"
"2","working with us on specific projects","Unspecified"
"2","activists or volunteer organizers","Other"
"2","connect you to other activists or volunteer organizers.","Other"
"3","we will send you emails about our work.","Basic service/feature"
"4","except as follows:","Unspecified"
"4","working with us on specific projects","Unspecified"
"5","on a donation or payment page","Other"
"5","on a donation or payment page","Other"
"6","may be added to a donor file that is occasionally exchanged with other progressive organizations.","Unspecified"
"6","added to a donor file that is occasionally exchanged with other progressive organizations.","Other"
"7","We may give consultants and organizations working with us on specific projects temporary access to information about people who make donations or payments","Unspecified"
"9","We do not disclose the information in that record to any outside entity","Unspecified"
"9","you give us permission","Unspecified"
"9","disclosure is compelled by law","Legal requirement"
"10","so that you don't have to reenter information on action, donate, or payment pages;","Other"
"10","for tracking traffic so that we can evaluate and improve the website","Analytics/Research"
"10","to facilitate outreach based on visitors' interests.","Personalization/Customization"
"11","For systems administration and troubleshooting,","Service Operation and Security"
"11","to track traffic so that we can evaluate and improve the website.","Analytics/Research"
"1","we may store that information and contact you about our work","Basic service/feature"
"2","If you sign a petition, your name and state may be included in an electronic file or hard-copy printout delivered to legislators or other policymakers. If you email a member of Congress or other policymaker, submit a comment to a government agency, send a letter-to-the-editor, or take any other action that generates a communication to an outside entity, the information you enter on the action page may be passed along to that outside entity. We may give consultants and organizations working with us on specific projects temporary access to information about our online action-takers. They will not retain the information or contact the people whose information they have access to. We may offer to connect you to other activists or volunteer organizers. Before doing so, we will notify you by email with an option to decline.","Additional service/feature"
"3","emails about our work","Marketing"
"4","specific projects","Additional service/feature"
"5","donation or payment page","Additional service/feature"
"6","If you donate","Additional service/feature"
"7","specific projects","Additional service/feature"
"9","unless disclosure is compelled by law","Legal requirement"
"10","don't have to reenter information on action, donate, or payment pages","Basic service/feature"
"10","for tracking traffic so that we can evaluate and improve the website","Analytics/Research"
"10","to facilitate outreach based on visitors' interests","Marketing"
"11","systems administration and troubleshooting","Service Operation and Security"
"1","contact you about our work","Marketing"
"3","emails about our work","Marketing"
"4","Email Lists or E-Newsletters","Marketing"
"9","disclosure is compelled by law","Legal requirement"
"10","so that you don't have to reenter information on action, donate, or payment pages","Basic service/feature"
"10","for tracking traffic so that we can evaluate and improve the website","Analytics/Research"
"10","to facilitate outreach based on visitors' interests","Personalization/Customization"
"11","For systems administration and troubleshooting","Service Operation and Security"
"11","to track traffic so that we can evaluate and improve the website","Analytics/Research"
