"1","hen you enter a sweepstakes or contest,","Additional service/feature"
"1","make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service,","Basic service/feature"
"1","Service as a whole","Basic service/feature"
"1","Service as a whole","Basic service/feature"
"1","Service as a whole","Basic service/feature"
"1","Service as a whole","Basic service/feature"
"1","when you enter a sweepstakes or contest, complete a survey, make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole, you may be provided, or required to choose, a password and/or User ID, and you may provide a credit, debit, or charge card number, or other payment information, as well as your name, telephone number(s), email and/or street address, and other personally identifiable information. Other information such as your age, gender, an avatar, and the number for your mobile or other device may also be requested. In addition, you may be asked to send us similar information via messaging (e.g., email, SMS, MMS, or other technologies). All such information shall be referred to in this Privacy Policy as your Registration Information.","Basic service/feature"
"1","when you enter a sweepstakes or contest, complete a survey, make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole, you may be provided, or required to choose, a password and/or User ID, and you may provide a credit, debit, or charge card number, or other payment information, as well as your name, telephone number(s), email and/or street address, and other personally identifiable information. Other information such as your age, gender, an avatar, and the number for your mobile or other device may also be requested. In addition, you may be asked to send us similar information via messaging (e.g., email, SMS, MMS, or other technologies). All such information shall be referred to in this Privacy Policy as your Registration Information.","Basic service/feature"
"3","including information about your contacts on those services","Unspecified"
"3","including information about your contacts on those services","Unspecified"
"3","If you choose to access, visit and/or use any third party social networking service(s) that may be integrated with the Service,","Additional service/feature"
"3","If you choose to access, visit and/or use any third party social networking service(s) that may be integrated with the Service,","Additional service/feature"
"3","or enhance or personalize your experience on our Service.","Personalization/Customization"
"3","Your decision to use a social networking service in connection with our Service is voluntary.","Additional service/feature"
"3","Your decision to use a social networking service in connection with our Service is voluntary","Additional service/feature"
"4","we may use your e-mail address to send you a confirmation notice and your mailing address to send you the publication.","Basic service/feature"
"4","For example","Unspecified"
"4","may also use the information to communicate with you about new features, products or services","Marketing"
"4","to improve the services that we offer by tailoring them to your needs.","Personalization/Customization"
"4","supply through the Service to provide you with the merchandise, product, service, and/or Content you have requested","Basic service/feature"
"4","f you enter an online sweepstake","Additional service/feature"
"4","e may also use the information to communicate with you about new features, products or services, and/or to improve the services that we offer by tailoring them to your needs.","Marketing"
"4","nd/or to improve the services that we offer by tailoring them to your needs.","Personalization/Customization"
"4","to provide you with the merchandise, product, service, and/or Content you have requested.","Basic service/feature"
"4","We may also use the information to communicate with you about new features, products or services,","Marketing"
"4","to improve the services that we offer by tailoring them to your needs.","Personalization/Customization"
"5","commercial","Marketing"
"5","commercial","Marketing"
"5","arefully selected companies who we think may offer services and/or products that may be of interest to you.","Marketing"
"5","future commercial messages from us","Marketing"
"6","for the purpose of and to the extent necessary to provide those services.","Unspecified"
"6","technical maintenance","Service operation and security"
"6","market research,","Analytics/Research"
"6","community and forums management, auction services, and shopping, personal/job search","Additional service/feature"
"6","ads","Advertising"
"6","choose to purchase merchandise, products and/or services,","Basic service/feature"
"6","choose to purchase merchandise, products and/or services,","Basic service/feature"
"6","technical maintenance","Service operation and security"
"6","market research","Analytics/Research"
"6","community and forums management, auction services, and shopping, personal/job search","Additional service/feature"
"6","other classified ads functionality","Advertising"
"6","credit card or other payment processing, order fulfillment, credit pre-authorization, and address verification.","Basic service/feature"
"6","hat provide us with services, such as technical maintenance,","Service operation and security"
"6","market research,","Analytics/Research"
"6","community and forums management, auction services, and shopping, personal/job search and other classified ads functionality","Basic service/feature"
"7","purposes of health, safety and other matters in the public interest.","Other"
"7","urposes of health, safety and other matters in the public interest.","Service operation and security"
"7","health, safety and other matters in the public interest.","Service Operation and Security"
"7","for purposes of health, safety and other matters in the public interest.","Service Operation and Security"
"7","or purposes of health, safety and other matters in the public interest.","Service operation and security"
"8","legal","Legal requirement"
"8","official investigations or legal proceedings initiated by governmental and/or law enforcement officials, as well as private parties, including, for example, in response to subpoenas, search warrants, court orders, or other legal process.","Legal requirement"
"8","n order to cooperate with official investigations or legal proceedings initiated by governmental and/or law enforcement officials, as well as private parties, including, for example, in response to subpoenas, search warrants, court orders, or other legal process.","Legal requirement"
"9","ed to show you content and sponsored messaging based on geographic location.","Advertising"
"9","may at times be able to identify you, for any lawful business purpose,","Unspecified"
"9","diagnose problems with our servers,","Service Operation and Security"
"9","gather broad demographic information","Analytics/Research"
"9","otherwise administer the Service.","Basic service/feature"
"9","ncluding without limitation to help diagnose problems with our servers,","Service Operation and Security"
"9","to gather broad demographic information, analyze trends, track users' movements around the Service,","Analytics/Research"
"9","therwise administer the Service.","Basic service/feature"
"9","ncluding without limitation to help diagnose problems with our servers,","Service Operation and Security"
"9","to gather broad demographic information, analyze trends, track users' movements around the Service,","Analytics/Research"
"9","therwise administer the Service.","Basic service/feature"
"9","specifically be used to show you content and sponsored messaging based on geographic location.","Marketing"
"9","to help diagnose problems with our servers","Service Operation and Security"
"9","to gather broad demographic information, analyze trends,","Analytics/Research"
"9","to gather broad demographic information, analyze trends, track users' movements around the Service,","Analytics/Research"
"9","to help diagnose problems with our servers","Service Operation and Security"
"10","nalyzing usage trend","Analytics/Research"
"10","seeking compatible advertiser","Advertising"
"10","sponsors, clients and customers","Basic service/feature"
"10","analyzing usage trends","Analytics/Research"
"10","eeking compatible advertisers","Advertising"
"10","sponsors, clients and customers.","Basic service/feature"
"10","uch as analyzing usage trends","Analytics/Research"
"10","seeking compatible advertisers, sponsors, clients and customers.","Advertising"
"10","clients and customers.","Marketing"
"11","business changes, we may buy or sell various assets.","Merger/Acquisition"
"11","sold, assigned, transferred or acquired","Merger/Acquisition"
"11","the information from and/or about our Service users may be among the transferred assets.","Merger/Acquisition"
"12","Registration Information","Basic service/feature"
"12","Registration Information","Basic service/feature"
"12","for any lawful business purpose.","Unspecified"
"13","We may use Local Device Storage for any lawful business purpose, including without limitation","Unspecified"
"13","effectiveness of marketing campaigns","Marketing"
"13","ads","Advertising"
"13","track usage patterns, the movements of individual users, and your geographic location","Analytics/Research"
"13","help diagnose problems with our servers,","Service Operation and Security"
"13","o deliver editorial content","Basic service/feature"
"13","personalization","Personalization/Customization"
"13","ermine which of our messages have been opened by recipients so we can gauge the effectiveness of marketing campaigns","Marketing"
"13","o control the display of ads","Advertising"
"13","to track usage patterns, the movements of individual users, and your geographic location,","Analytics/Research"
"13","o help diagnose problems with our servers,","Service Operation and Security"
"13","to deliver editorial content, to record registration","Basic service/feature"
"13","personalization informatio","Personalization/Customization"
"13","so we can gauge the effectiveness of marketing campaigns","Marketing"
"13","to control the display of ads","Advertising"
"13","to track usage patterns, the movements of individual users, and your geographic location","Analytics/Research"
"13","o help diagnose problems with our servers","Service Operation and Security"
"13","to deliver editorial content,","Basic service/feature"
"15","some of the same lawful business purposes we describe above for use of Local Device Storage.","Unspecified"
"15","We use Tracking Technologies for all or some of the same lawful business purposes we describe above for use of Local Device Storage.","Unspecified"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertisements","Advertising"
"17","advertising service vendors","Advertising"
"17","advertising service vendors","Advertising"
"17","advertising service vendors","Advertising"
"17","advertising service vendors","Advertising"
"25","third parties direct marketing purposes","Marketing"
"25","direct marketing purpose","Marketing"
"27","marketing","Marketing"
"27","marketing purposes.","Marketing"
"27","third parties for their marketing purposes.","Advertising"
"28","promotional","Marketing"
"29","promotional","Marketing"
"29","promotional mailings f","Marketing"
"29","our promotional mailing lists.","Marketing"
"30","If you don't agree to the terms contained in this User Agreement and Privacy Policy, you must immediately exit the Service.","Basic service/feature"
