"3","buy a ticket.","Basic service/feature"
"7","register for a promotion","Additional service/feature"
"7","buy tickets","Basic service/feature"
"7","For example, if you register for a promotion or buy tickets. We also collect information if you post a comment on our websites or ask us a question.","Unspecified"
"9","integrated social media feature on our websites or mobile applications.","Additional service/feature"
"9","integrated social media feature on our websites or mobile applications.","Additional service/feature"
"10","confirm your registration for an event","Basic service/feature"
"10","contest","Additional service/feature"
"10","to respond to your requests or questions. For example, we might use your information to confirm your registration for an event or contest. If you give us your friend's information, we will only use it to provide services you requested.","Additional service/feature"
"11","improve our products and services","Analytics/Research"
"11","customize your experience with us. This could include displaying content based upon your preferences.","Personalization/Customization"
"11","We use information to improve our products and services. We might use your information to customize your experience with us. This could include displaying content based upon your preferences.","Personalization/Customization"
"12","look at site trends and customer interests. We may use your information to make our website and products better","Analytics/Research"
"12","We use information to look at site trends and customer interests. We may use your information to make our website and products better.","Analytics/Research"
"13","security purposes. We may use information to protect our company, our customers, or our websites.","Service Operation and Security"
"14","marketing purposes. For example, we might send you information about special promotions or offers. We might also tell you about new features or products. These might be our own offers or products, or third-party offers or products we think you might find interesting","Marketing"
"14","send you alerts regarding local events","Marketing"
"14","We use information for marketing purposes. For example, we might send you information about special promotions or offers. We might also tell you about new features or products. These might be our own offers or products, or third-party offers or products we think you might find interesting. Or, for example, if you buy tickets from us we'll enroll you in our newsletter. We may use push notifications and your location information on our mobile apps to send you alerts regarding local events.","Marketing"
"15","transactional communications. For example, we might send you emails about your account or a ticket purchase. We might also contact you about this policy or our website terms.","Basic service/feature"
"15","We use information to send you transactional communications. For example, we might send you emails about your account or a ticket purchase. We might also contact you about this policy or our website terms.","Service Operation and Security"
"16","permitted by law","Unspecified"
"18","vendors who help us manage our online registration process or who fulfill your purchases","Basic service/feature"
"18","For example, we share information with vendors who help us manage our online registration process or who fulfill your purchases. Some vendors may be located outside of the United States.","Additional service/feature"
"19","provides or sponsors an event, or who operates a venue where we hold events","Basic service/feature"
"19","This includes a third party who provides or sponsors an event, or who operates a venue where we hold events. Our partners use the information we give them as described in their privacy policies. You should read those polices to learn how they treat your information.","Unspecified"
"20","when we are investigating potential fraud. This might include fraud we think has happened during a sweepstakes or promotion.","Service operation and security"
"20","respond to a court order or subpoena","Legal requirement"
"20","We may share information if we think we have to in order to comply with the law or to protect ourselves. For example, we will share information to respond to a court order or subpoena. We may also share it if a government agency or investigatory body requests. Or, we might also share information when we are investigating potential fraud. This might include fraud we think has happened during a sweepstakes or promotion.","Legal requirement"
"21","if part of our business is sold","Merger/Acquisition"
"21","For example, if part of our business is sold we may give our customer list as part of that transaction.","Merger/Acquisition"
"22","for reasons not described in this policy","Unspecified"
"22","for reasons not described in this policy. We will tell you before we do this.","Other"
"23","marketing emails","Marketing"
"23","marketing emails","Marketing"
"23","marketing emails.","Marketing"
"25","To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.","Unspecified"
"7","if you register for a promotion or buy tickets. We also collect information if you post a comment on our websites or ask us a question","Basic service/feature"
"7","For example","Unspecified"
"10","We use information to respond to your requests or questions. For example, we might use your information to confirm your registration for an event or contest. If you give us your friend's information, we will only use it to provide services you requested.","Basic service/feature"
"11","We use information to improve our products and services. We might use your information to customize your experience with us. This could include displaying content based upon your preferences.","Personalization/Customization"
"12","We use information to look at site trends and customer interests. We may use your information to make our website and products better.","Analytics/Research"
"13","We use information for security purposes. We may use information to protect our company, our customers, or our websites.","Service Operation and Security"
"14","for marketing purposes. For example, we might send you information about special promotions or offers. We might also tell you about new features or products. These might be our own offers or products, or third-party offers or products we think you might find interesting. Or, for example, if you buy tickets from us we'll enroll you in our newsletter. We may use push notifications and your location information on our mobile apps to send you alerts regarding local events. To learn about your choices for these communications, read the choices section below.","Marketing"
"15","to send you transactional communications. For example, we might send you emails about your account or a ticket purchase. We might also contact you about this policy or our website terms.","Basic service/feature"
"16","as otherwise permitted by law","Unspecified"
"20","if we think we have to in order to comply with the law or to protect ourselves. For example, we will share information to respond to a court order or subpoena. We may also share it if a government agency or investigatory body requests.","Legal requirement"
"20","we might also share information when we are investigating potential fraud. This might include fraud we think has happened during a sweepstakes or promotion.","Service operation and security"
"21","For example, if part of our business is sold we may give our customer list as part of that transaction.","Merger/Acquisition"
"22","for reasons not described in this policy","Unspecified"
"23","marketing","Marketing"
"23","marketing","Marketing"
