"4","you understand that the JibJab Sites and JibJab Services allow, among other things, users who are 13 or older to post","Basic service/feature"
"4","for public posting","Other"
"5","To enrich user experience","Additional service/feature"
"5","To enrich user experience","Additional service/feature"
"5","so as to allow our users to identify each other.","Basic service/feature"
"6","By submitting personal information on any of the JibJab Sites or through any of the JibJab Services, you affirmatively consent to this Privacy Policy and agree to have such personal information (to the extent disclosed by you either directly to JibJab or via third-party sign on services) collected by JibJab (or its agents or contractors) and transferred to and processed in the United States.","Unspecified"
"6","By submitting personal information on any of the JibJab Sites or through any of the JibJab Services, you affirmatively consent to this Privacy Policy and agree to have such personal information (to the extent disclosed by you either directly to JibJab or via third-party sign on services) collected by JibJab (or its agents or contractors) and transferred to and processed in the United States.","Unspecified"
"6","By submitting personal information on any of the JibJab Sites or through any of the JibJab Services, you affirmatively consent to this Privacy Policy and agree to have such personal information (to the extent disclosed by you either directly to JibJab or via third-party sign on services) collected by JibJab (or its agents or contractors) and transferred to and processed in the United States.","Unspecified"
"10","to authenticate users","Other"
"10","to send notifications to those users relating to the JibJab Sites and JibJab Services.","Marketing"
"10","to authenticate users","Other"
"10","to send notifications to those users relating to the JibJab Sites and JibJab Services.","Marketing"
"10","to send notifications to those users relating to the JibJab Sites and JibJab Services.","Marketing"
"10","to authenticate users","Other"
"10","in order to enrich the user experience.","Additional service/feature"
"10","in order to enrich the user experience.","Additional service/feature"
"10","in order to enrich the user experience.","Additional service/feature"
"10","in order to enrich the user experience.","Additional service/feature"
"10","in order to enrich the user experience.","Additional service/feature"
"10","in order to enrich the user experience.","Additional service/feature"
"11","sed to manage the website","Service Operation and Security"
"11","track usage","Analytics/Research"
"11","track usage","Analytics/Research"
"11","used to manage the website,","Service Operation and Security"
"11","used to manage the website,","Service Operation and Security"
"11","to provide more relevant services","Basic service/feature"
"11","advertisements","Advertising"
"11","for security and monitoring purposes.","Legal requirement"
"12","in order to enrich the user experience and facilitate user interaction","Additional service/feature"
"12","in order to enrich the user experience and facilitate user interaction","Additional service/feature"
"12","the purpose of sending notifications related to the service","Other"
"12","notifying friends","Other"
