"2","necessary to contact you or to process your Web site purchases.","Basic service/feature"
"2","household income,","Unspecified"
"2","household income,","Unspecified"
"2","billing information where necessary to contact you or to process your Web site purchases","Basic service/feature"
"2","billing information where necessary to contact you or to process your Web site purchases","Basic service/feature"
"2","billing information where necessary to contact you or to process your Web site purchases","Basic service/feature"
"2","billing information where necessary to contact you or to process your Web site purchases","Basic service/feature"
"2","where necessary to contact you or to process your Web site purchases.","Basic service/feature"
"3","advertisers","Advertising"
"3","e-mail newsletters","Marketing"
"3","pon registration","Basic service/feature"
"3","pon registration","Basic service/feature"
"3","e-mail newsletters and alerts and have e-mail offers sent to you on behalf of MediaNews advertisers,","Advertising"
"3","newsletters and alerts and have e-mail offers","Additional service/feature"
"3","User registration is required to access the majority of content, services and features on MediaNews Web sites","Basic service/feature"
"4","process the purchase of services or products on the MediaNews Web sites, such as purchasing a newspaper subscription","Basic service/feature"
"4","placing an ad","Advertising"
"4","as purchasing a newspaper subscription","Basic service/feature"
"4","placing an ad.","Advertising"
"4","placing an ad","Advertising"
"4","process the purchase of services or products on the MediaNews Web sites, such as purchasing a newspaper subscription","Basic service/feature"
"4","generally collected in order to process the purchase of services or products on the MediaNews Web sites, such as purchasing a newspaper subscription or placing an ad.","Basic service/feature"
"4","generally collected in order to process the purchase of services or products on the MediaNews Web sites, such as purchasing a newspaper subscription or placing an ad.","Basic service/feature"
"4","registration for home delivery requests, vacation delivery stop requests and other similar requests as well as upon the use or download of software available on MediaNews Web sites.","Additional service/feature"
"4","in order to process the purchase of services or products on the MediaNews Web sites, such as purchasing a newspaper subscription","Basic service/feature"
"4","in order to process the purchase of services or products on the MediaNews Web sites, such as purchasing a newspaper subscription","Basic service/feature"
"4","in order to process the purchase of services or products on the MediaNews Web sites, such as purchasing a newspaper subscription","Basic service/feature"
"5","Sweepstakes, Contests, Promotions, Special Offers","Additional service/feature"
"5","upon your optional entry in any sweepstakes, contests, promotions or special offers found on MediaNews Web sites.","Additional service/feature"
"5","weepstakes, contests, promotions or special offers found on MediaNews Web sites.","Marketing"
"6","survey","Other"
"6","Some chat room and message board forums","Additional service/feature"
"6","If such information is gathered for a MediaNews survey, no PIN is released and is reported or used only in aggregate form.","Analytics/Research"
"6","If such information is gathered for a MediaNews survey","Analytics/Research"
"6","Those Web site users that choose to provide feedback or commentary, fill out surveys, engage in MediaNews chat rooms or use MediaNews message boards","Additional service/feature"
"6","Those Web site users that choose to provide feedback or commentary, fill out surveys, engage in MediaNews chat rooms or use MediaNews message boards","Additional service/feature"
"6","chat room and message board forums","Basic service/feature"
"7","provide the forwarding services","Additional service/feature"
"7","Forwarding an article","Additional service/feature"
"7","Forwarding an article found on a MediaNews Web site","Additional service/feature"
"8","comply with the law or legal processes","Legal requirement"
"8","protect and defend MediaNews rights and property; (3) protect against misuse or unauthorized use of any MediaNews Web site; or to (4) protect the personal safety or property of our users or the public.","Service operation and security"
"8","ediaNews may also use the information collected when, in its sole discretion, it believes necessary or appropriate in connection with a sale or transfer of some or all of MediaNews' assets in our Web site.","Merger/Acquisition"
"8","comply with the law or legal processes","Legal requirement"
"8","protect and defend MediaNews rights and property; (3) protect against misuse or unauthorized use of any MediaNews Web site; or to (4) protect the personal safety or property of our users or the public","Service operation and security"
"8","where required to do so by law, or where MediaNews, in good faith, believes the use or disclosure of the information collected is necessary to (1) comply with the law or legal processes;","Legal requirement"
"8","protect and defend MediaNews rights and property; (3) protect against misuse or unauthorized use of any MediaNews Web site; or to (4) protect the personal safety or property of our users or the public.","Service Operation and Security"
"8","sale or transfer of some or all of MediaNews' assets in our Web site.","Merger/Acquisition"
"8","use the information collected where required to do so by law, or where MediaNews, in good faith, believes the use or disclosure of the information collected is necessary to (1) comply with the law or legal processes","Legal requirement"
"8","protect and defend MediaNews rights and property; (3) protect against misuse or unauthorized use of any MediaNews Web site; or to (4) protect the personal safety or property of our users or the public.","Service operation and security"
"8","MediaNews may also use the information collected when, in its sole discretion, it believes necessary or appropriate in connection with a sale or transfer of some or all of MediaNews' assets in our Web site.","Merger/Acquisition"
"10","used to deliver targeted advertising based on your behavior and demographic","Advertising"
"10","track your entries in promotions and contests.","Additional service/feature"
"10","track your entries in promotions and contests.","Additional service/feature"
"10","to select which ads to display","Advertising"
"10","used to deliver targeted advertising based on your behavior and demographics","Advertising"
"10","are used to deliver targeted advertising","Advertising"
"10","advertising","Advertising"
"10","advertising","Advertising"
"11","systems administration","Service Operation and Security"
"11","to gather demographic and other information about you and to link information about a user's computer session to PIN.","Unspecified"
"11","systems administration and trouble shooting purposes,","Service Operation and Security"
"11","o gather demographic and other information about you and to link information about a user's computer session to PIN","Analytics/Research"
"11","systems administration and trouble shooting purposes","Service Operation and Security"
"11","to gather demographic and other information about you","Analytics/Research"
"13","provide services","Basic service/feature"
"13","provide services","Basic service/feature"
"13","perform statistical, demographic","Analytics/Research"
"13","marketing","Marketing"
"13","advertisements","Advertising"
"13","help diagnose problems with our services and our Web sites","Service operation and security"
"13","statistical, demographic and marketing analysis","Analytics/Research"
"13","marketing","Marketing"
"13","diagnose problems","Service operation and security"
"13","target advertisements","Advertising"
"13","administer the MediaNews Web sites and to provide services you request.","Basic service/feature"
"13","administer the MediaNews Web sites and to provide services you request.","Basic service/feature"
"13","advertisers","Advertising"
"13","advertisers","Advertising"
"13","advertisers","Advertising"
"13","perform statistical, demographic and marketing analysis of subscribers and their subscribing and purchasing patterns,","Analytics/Research"
"13","help diagnose problems with our services and our Web sites.","Service Operation and Security"
"13","perform statistical, demographic and marketing analysis of subscribers and their subscribing and purchasing patterns,","Analytics/Research"
"13","help diagnose problems with our services and our Web sites.","Service Operation and Security"
"13","perform statistical, demographic and marketing analysis of subscribers and their subscribing and purchasing patterns","Analytics/Research"
"13","advertisements","Advertising"
"13","to help diagnose problems with our services and our Web sites.","Service Operation and Security"
"13","to help diagnose problems with our services and our Web sites.","Service Operation and Security"
"13","advertisements","Advertising"
"13","used to perform statistical, demographic and marketing analysis of subscribers and their subscribing and purchasing patterns","Analytics/Research"
"14","fulfill subscriptions, change addresses, suspend delivery, confirm and process transactions","Basic service/feature"
"14","to contact the user regarding his or her account, new or existing products and services and special offers.","Marketing"
"14","fulfill subscriptions, change addresses, suspend delivery, confirm and process transactions","Basic service/feature"
"14","to contact the user regarding his or her account, new or existing products and services and special offers.","Marketing"
"14","fulfill subscriptions, change addresses, suspend delivery, confirm and process transactions and to contact the user regarding his or her account,","Basic service/feature"
"14","new or existing products and services and special offers.","Marketing"
"14","fulfill subscriptions, change addresses, suspend delivery, confirm and process transactions and to contact the user regarding his or her account,","Basic service/feature"
"14","new or existing products and services and special offers.","Marketing"
"14","to fulfill subscriptions, change addresses, suspend delivery, confirm and process transactions and to contact the user regarding his or her account,","Basic service/feature"
"14","new or existing products and services and special offers.","Marketing"
"14","new or existing products and services and special offers.","Marketing"
"14","to fulfill subscriptions, change addresses, suspend delivery, confirm and process transactions and to contact the user regarding his or her account","Basic service/feature"
"15","personalize","Personalization/Customization"
"15","advertising","Advertising"
"15","enhance products and services","Marketing"
"15","enhance products and services","Marketing"
"15","advertisers","Advertising"
"15","personalize","Personalization/Customization"
"15","products or services may be of interest to you.","Advertising"
"15","products or services may be of interest to you.","Marketing"
"15","personalize the content","Personalization/Customization"
"15","advertising","Advertising"
"15","enhance products and services and develop new products and services","Analytics/Research"
"15","personalize the content","Personalization/Customization"
"15","advertising","Advertising"
"15","enhance products and services and develop new products and services","Analytics/Research"
"15","to personalize the content and advertising that users see based on personal characteristics and preferences","Personalization/Customization"
"15","enhance products and services and develop new products and services,","Analytics/Research"
"15","enhance products and services and develop new products and services,","Analytics/Research"
"15","to personalize the content and advertising that users see based on personal characteristics and preferences","Personalization/Customization"
"15","advertisers","Advertising"
"16","fulfilling subscription requests","Basic service/feature"
"16","fulfilling subscription requests","Basic service/feature"
"16","advertising","Advertising"
"16","advertising","Advertising"
"16","fulfilling subscription requests,","Basic service/feature"
"16","sending e-mails and assisting in the provision of the MediaNews Web sites and services.","Service operation and security"
"16","fulfilling subscription requests,","Basic service/feature"
"16","sending e-mails and assisting in the provision of the MediaNews Web sites and services.","Service operation and security"
"16","To improve your ad experience on MediaNews websites and elsewhere on the Internet,","Advertising"
"16","assisting in the provision of the MediaNews Web sites and services.","Basic service/feature"
"16","assisting in the provision of the MediaNews Web sites and services.","Basic service/feature"
"16","ad","Advertising"
"16","advertising","Advertising"
"17","ffiliates may buy or sell various assets. In the event that MediaNews Group, Inc., MediaNews Group Interactive, Inc. or MediaNews Group affiliates sells some or all of its assets, or another company acquires one or more of its Web sites, information on users may be among the transferred assets.","Merger/Acquisition"
"17","in order to offer you the opportunity to receive information and offers about products or services from our business partners or third parties.","Marketing"
"17","affiliates may buy or sell various assets","Merger/Acquisition"
"17","sells some or all of its assets, or another company acquires one or more of its Web sites, information on users may be among the transferred assets.","Merger/Acquisition"
"17","You may have arrived at this Web site by following a link from a CareerBuilder newspaper affiliate or other affiliate. If so, please be aware that CareerBuilder may share your information with that affiliate and the affiliate may use the information consistent with its privacy policy instead of this one.""","Unspecified"
"17","n the event that MediaNews Group, Inc., MediaNews Group Interactive, Inc. or MediaNews Group affiliates sells some or all of its assets, or another company acquires one or more of its Web sites,","Merger/Acquisition"
"17","to offer you the opportunity to receive information and offers about products or services from our business partners or third parties","Marketing"
"17","to offer you the opportunity to receive information and offers about products or services from our business partners or third parties","Marketing"
"18","promotion and/or marketing i","Marketing"
"18","marketing information","Marketing"
"19","information about their products and services","Marketing"
"19","information about their products and services","Marketing"
"19","wish to send you information about their products and services,","Marketing"
"19","wish to send you information about their products and services,","Marketing"
"19","wish to send you information about their products and services,","Marketing"
"19","wish to send you information about their products and services,","Marketing"
"20","special offers","Marketing"
"20","special offers","Marketing"
"20","special offers and new products and features","Marketing"
"20","special offers and new products and features","Marketing"
"20","information about special offers and new products and features from MediaNews","Marketing"
"20","information about special offers and new products and features from MediaNews","Marketing"
"25","advertising","Advertising"
"28","children can participate in activities (e.g. completing polls or online surveys, posting jokes, book reviews, movie reviews, toy reviews, video reviews, concert reviews, game reviews, artwork or questions/comments online, or playing online games) without giving unnecessary personal information","Additional service/feature"
"28","children can participate in activities (e.g. completing polls or online surveys, posting jokes, book reviews, movie reviews, toy reviews, video reviews, concert reviews, game reviews, artwork or questions/comments online, or playing online games) without giving unnecessary personal information","Additional service/feature"
"28","in order to conduct online contests or sweepstakes, email newsletters and offers, provide subscriptions, participate in chat rooms and message boards, or offer other online activities.","Additional service/feature"
"28","email newsletters and offers","Marketing"
"29","disclose information maintained as required by law, for example, in response to a court order or a subpoena. MediaNews may also disclose such information in response to a specific law enforcement agency's request.","Legal requirement"
"29","except those who provide support for the internal operations of the site.","Service operation and security"
"29","When a child under thirteen 13 enters a contest or sweepstakes, or participates in another activity","Additional service/feature"
