"2","When you use certain enhanced elements within our Services","Additional service/feature"
"2","When you use certain enhanced elements within our Services","Additional service/feature"
"2","When you use certain enhanced elements within our Services","Additional service/feature"
"2","When you use certain enhanced elements within our Services","Additional service/feature"
"2","When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:","Additional service/feature"
"2","When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:","Additional service/feature"
"2","When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:","Additional service/feature"
"2","When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:","Additional service/feature"
"4","sell, lease, publish","Other"
"5","provide services you've requested","Basic service/feature"
"5","provide you with offers, promotions","Marketing"
"5","add you","Advertising"
"5","provide services you've requested","Basic service/feature"
"5","a sweepstakes, fantasy game, subscription to goods or services, etc.","Additional service/feature"
"5","provide you with offers, promotions (e.g., a sweepstakes, fantasy game, subscription to goods or services, etc.) or content or add you to our postal mail list;","Marketing"
"5","provide services you've requested","Basic service/feature"
"5","provide you with offers, promotions","Marketing"
"6","send you electronic communications,","Marketing"
"6","lectronic communications, including emails about the league or a club applicable to your interactions with our Website, and about products, services, sponsors, partners and affiliates when you make a purchase, agree to rules or terms, or otherwise engage with our Website, to the extent the sending of such electronic communication is permissible under applicable law","Additional service/feature"
"6","emails about the league or a club applicable to your interactions with our Website, and about products, services, sponsors, partners and affiliates","Marketing"
"6","when you make a purchase, agree to rules or terms, or otherwise engage with our Website","Basic service/feature"
"7","provide services","Basic service/feature"
"7","offers, promotions","Marketing"
"7","add","Advertising"
"7","administer the promotion","Marketing"
"7","provide services, offers, promotions or content youve requested or otherwise in accordance with the applicable rules of a promotion or terms presented at the time you submit personal information, so the third party can administer the promotion, send you offers or content or add you to their postal mailing list;","Additional service/feature"
"7","promotion, send you offers or content or add you to their postal mailing list;","Marketing"
"7","service providers","Basic service/feature"
"7","promotional partners","Marketing"
"8","they may learn more about fans like you","Analytics/Research"
"8","add you to the Club's postal mail list","Marketing"
"8","provide better services to you;","Personalization/Customization"
"8","learn more about fans like you","Analytics/Research"
"8","add you to the Club's postal mail list","Marketing"
"8","better","Personalization/Customization"
"8","they may learn more about fans like you, add you to the Club's postal mail list and provide better services to you;","Additional service/feature"
"8","learn more about fans like you","Analytics/Research"
"8","o they may learn more about fans like you, add you to the Club's postal mail list and provide better services to you;","Additional service/feature"
"8","earn more about fans like you,","Analytics/Research"
"8","so they may learn more about fans like you, add you to the Club's postal mail list and provide better services to you;","Unspecified"
"9","economic transaction","Merger/Acquisition"
"9","economic transaction","Merger/Acquisition"
"9","economic transaction","Basic service/feature"
"9","economic transaction","Basic service/feature"
"9","for an economic transaction","Basic service/feature"
"10","mprove our Services or your MLB experience;","Personalization/Customization"
"10","help improve our Services","Personalization/Customization"
"10","periodic surveys to help improve our Services or your MLB experience;","Analytics/Research"
"10","help improve our Services or your MLB experience;","Analytics/Research"
"10","periodic surveys to help improve our Services or your MLB experience","Analytics/Research"
"10","to help improve our Services or your MLB experience;","Analytics/Research"
"11","online loyalty, membership or rewards programs operated","Marketing"
"11","connection with online loyalty, membership or rewards programs operated from our Services or with a third party from which you may receive goods or services in connection with such a program","Additional service/feature"
"11","online loyalty, membership or rewards programs operated from our Services","Additional service/feature"
"11","online loyalty, membership or rewards programs operated from our Services","Additional service/feature"
"11","online loyalty, membership or rewards programs operated from our Services or with a third party","Additional service/feature"
"13","customize your experience","Personalization/Customization"
"13","provide offers that may be relevant to you.","Marketing"
"13","customize","Personalization/Customization"
"13","provide offers that may be relevant to you","Marketing"
"13","to customize your experience","Personalization/Customization"
"13","provide offers that may be relevant to you","Advertising"
"14","atch individuals from your contacts lists with those participating in our Mobile Games so you can invite your friends to play with and against you","Marketing"
"14","we may solicit your permission to access your contacts list (e.g., address book) so that we may match individuals from your contacts lists with those participating in our Mobile Games so you can invite your friends to play with and against you.","Additional service/feature"
"14","so that we may match individuals from your contacts lists with those participating in our Mobile Games so you can invite your friends to play with and against you","Additional service/feature"
"15","enable you to use a ""shopping cart"" while using our Services,","Basic service/feature"
"15","to store your preferences","Personalization/Customization"
"15","o enable you to use a ""shopping cart"" while using our Services,","Basic service/feature"
"15","to store your preferences","Personalization/Customization"
"15","improve, deliver and customize our Services' content and offerings.","Analytics/Research"
"15","se software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page","Analytics/Research"
"15","We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page.","Analytics/Research"
"15","We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page.","Analytics/Research"
"15","We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page","Analytics/Research"
"15","We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page.","Analytics/Research"
"15","We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page","Analytics/Research"
"15","We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page.","Analytics/Research"
"15","to enable you to use a ""shopping cart"" while using our Services, to store your preferences and to improve, deliver and customize our Services' content and offerings.","Basic service/feature"
"15","to enable you to use a ""shopping cart"" while using our Services, to store your preferences and to improve, deliver and customize our Services' content and offerings.","Basic service/feature"
"16","tailor certain advertisements and content delivered within our Services and on other websites within such network advertiser's ad network.","Advertising"
"16","advertisements to websites and applications such as ours are commonly referred to as ""network advertisers.""","Advertising"
"16","tailor certain advertisements and content delivered within our Services and on other websites within such network advertiser's ad network","Personalization/Customization"
"16","""network advertisers.","Advertising"
"17","When using our Services or when using certain third party social networking services (e.g., Facebook, Twitter, Google +) (each and collectively, a ""Social Network""), you may have the option to connect your Website, Application, Mobile Game or Social Game information and activity with your Social Network information and activity.","Additional service/feature"
"17","When using our Services or when using certain third party social networking services (e.g., Facebook, Twitter, Google +) (each and collectively, a ""Social Network""), you may have the option to connect your Website, Application, Mobile Game or Social Game information and activity with your Social Network information and activity.","Additional service/feature"
"17","When using our Services or when using certain third party social networking services (e.g., Facebook, Twitter, Google +) (each and collectively, a ""Social Network""), you may have the option to connect your Website, Application, Mobile Game or Social Game information and activity with your Social Network information and activity.","Additional service/feature"
"17","When using our Services or when using certain third party social networking services (e.g., Facebook, Twitter, Google +) (each and collectively, a ""Social Network""), you may have the option to connect your Website, Application, Mobile Game or Social Game information and activity with your Social Network information and activity.","Additional service/feature"
"17","when using certain third party social networking services (e.g., Facebook, Twitter, Google +) (each and collectively, a ""Social Network""), you may have the option to connect your Website, Application, Mobile Game or Social Game information and activity with your Social Network information and activity.","Additional service/feature"
"17","If you authorize such a connection","Additional service/feature"
"18","understand our users","Analytics/Research"
"18","provide you a better experience","Personalization/Customization"
"18","understand","Analytics/Research"
"18","provide you a better experience.","Personalization/Customization"
"18","understand our users and provide you a better experience.","Analytics/Research"
