"5","Registration information you provide when you create an accoun","Basic service/feature"
"5","create an account,","Additional service/feature"
"5","create an account,","Additional service/feature"
"6","when you request information or purchase a product or service from us,","Basic service/feature"
"6","when you request information or purchase a product or service from us,","Basic service/feature"
"6","when you request information or purchase a product or service from us,","Basic service/feature"
"6","when you request information or purchase a product or service from us,","Basic service/feature"
"6","when you request information or purchase a product or service from us,","Basic service/feature"
"6","when you request information or purchase a product or service from us,","Basic service/feature"
"6","when you request information or purchase a product or service from us, whether on our sites or through our applications,","Basic service/feature"
"6","when you request information or purchase a product or service from us, whether on our sites or through our applications,","Basic service/feature"
"6","when you request information or purchase a product or service from us, whether on our sites or through our applications,","Basic service/feature"
"7","public forums on our sites and applications","Additional service/feature"
"7","public forums on our sites and applications","Additional service/feature"
"8","Information sent either one-to-one or within a limited group using our message, chat, post or similar functionality,","Additional service/feature"
"9","use our sites and applications","Basic service/feature"
"9","use our sites and applications","Basic service/feature"
"9","our applications on third-party sites or platforms such as social networking sites","Additional service/feature"
"12","request products, services or information from us, register with us,","Basic service/feature"
"12","participate in public forumsor other activities on our sites and applications,","Additional service/feature"
"12","respond to customer surveys,","Other"
"12","when you request products, services or information from us, register with us, participate in public forumsor other activities on our sites and applications","Basic service/feature"
"12","otherwise interact with us.","Unspecified"
"15","Provide you with the products and services you request","Basic service/feature"
"15","Communicate with you about your account or transactions with us and send you information about features on our sites and applications or changes to our policies","Marketing"
"15","changes","Service Operation and Security"
"15","Personalize content and experiences","Personalization/Customization"
"15","advertising","Advertising"
"15","Detect, investigate and prevent activities that may violate our policies or be illegal","Legal requirement"
"15","Provide you with the products and services you request","Basic service/feature"
"15","Send you offers and promotions for our products and services or third-party products and services","Marketing"
"15","Optimize or improve our products, services and operations","Analytics/Research"
"15","Detect, investigate and prevent activities that may violate our policies or be illegal","Service operation and security"
"15","Provide you with advertising based on your activity on our sites and applications and on third-party sites and applications.","Advertising"
"15","Personalize content and experiences","Personalization/Customization"
"15","where they perform services on behalf of the data controller(s) (as a data processor)","Basic service/feature"
"15","where they perform services on behalf of the data controller(s) (as a data processor)","Basic service/feature"
"15","Send you offers and promotions for our products and services or third-party products and services","Marketing"
"15","Send you offers and promotions for our products and services or third-party products and services","Marketing"
"15","Personalize content and experiences","Personalization/Customization"
"15","Personalize content and experiences","Personalization/Customization"
"16","you offers and promotions about their products and services","Advertising"
"16","so that they can send you offers and promotions about their products and services","Marketing"
"16","Directing us to share your personal information with third-party sites or platforms, such as social networking sites","Additional service/feature"
"17","offer co-branded products","Marketing"
"17","like package delivery and customer service","Basic service/feature"
"17","enforce our Terms of Use or rules,","Service operation and security"
"17","legal process o","Legal requirement"
"17","sale of a business","Merger/Acquisition"
"17","in connection with the sale of a business,","Merger/Acquisition"
"17","to enforce our Terms of Use or rules, to ensure the safety and security of our guests and third parties, to protect our rights and property and the rights and property of our guests and third parties,","Service operation and security"
"17","to comply with legal process or in other cases if we believe in good faith that disclosure is required by law","Legal requirement"
"17","When we cooperate with financial institutions to offer co-branded products or services to you, such as our co-branded Disney Rewards Visa Card;","Marketing"
"17","When companies perform services on our behalf, like package delivery and customer service;","Basic service/feature"
"17","When we cooperate with financial institutions to offer co-branded products or services to you, such as our co-branded Disney Rewards Visa Card;","Additional service/feature"
"17","perform services on our behalf, like package delivery and customer service;","Basic service/feature"
"17","in connection with the sale of a business,","Merger/Acquisition"
"17","to comply with legal process or in other cases if we believe in good faith that disclosure is required by law","Legal requirement"
"18","You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here","Advertising"
"18","You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here","Analytics/Research"
"18","You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you","Marketing"
"18","offers and promotions for our products and services, or products and services that we think may be of interest to you","Marketing"
"18","targeted advertising","Advertising"
"19","deliver certain products and services to you,","Basic service/feature"
"23","reasonably necessary to participate in an online activity","Basic service/feature"
"37","We may use IP addresses to collect information regarding the frequency with which our guests visit various parts of our sites and applications, and we may combine IP addresses with personal information.","Analytics/Research"
"37","We may use IP addresses to collect information regarding the frequency with which our guests visit various parts of our sites and applications, and we may combine IP addresses with personal information.","Analytics/Research"
"37","to collect information regarding the frequency with which our guests visit various parts of our sites and applications,","Analytics/Research"
"42","message boards, conversation pages, blogs, chat rooms, social community environments, profile pages, and other forums","Additional service/feature"
"42","message boards, conversation pages, blogs, chat rooms, social community environments, profile pages, and other forums","Additional service/feature"
"42","message boards, conversation pages, blogs, chat rooms, social community environments, profile pages, and other forums","Additional service/feature"
