"2","member or subscriber registration, reader comments and blogs, contests, news alerts,","Basic service/feature"
"2","purchasing products and using social networking tools","Additional service/feature"
"2","purchasing products and using social networking tools","Additional service/feature"
"2","purchasing products and using social networking tools","Additional service/feature"
"2","purchasing products and using social networking tools","Additional service/feature"
"2","as member or subscriber registration,","Basic service/feature"
"2","reader comments and blogs, contests, news alerts, purchasing products and using social networking tools.","Additional service/feature"
"2","For purchases","Basic service/feature"
"2","for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools","Basic service/feature"
"2","for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools","Basic service/feature"
"3","marketing","Marketing"
"3","equire session data or require user verification.","Basic service/feature"
"3","ny feedback that is submitted through these forms or through email is the property of The News-Post.","Analytics/Research"
"3","e may use this feedback for marketing purpose","Marketing"
"3","We may use this feedback for marketing purposes","Marketing"
"4","communicate with its users about changes in policies or operations.","Service Operation and Security"
"4","to communicate with its users about changes in policies or operations","Service Operation and Security"
"4","to communicate with its users about changes in policies or operations.","Other"
"5","promote News-Post products and services;","Marketing"
"5","promote News-Post products and services","Marketing"
"5","to promote News-Post products and services","Marketing"
"6","advertisers;","Advertising"
"6","promote products and services on behalf of advertisers","Advertising"
"6","romote products and services","Marketing"
"7","study the use and popularity of various areas of our site.","Analytics/Research"
"7","study the use and popularity of various areas of our site.","Analytics/Research"
"7","statistical analyses","Analytics/Research"
"7","statistical analyses","Analytics/Research"
"7","to analyze where we are getting our audience.","Analytics/Research"
"8","unless otherwise required by law.","Legal requirement"
"8","dvertisers","Advertising"
"8","nless otherwise required by law.","Legal requirement"
"8","unless otherwise required by law","Legal requirement"
"8","advertisers","Advertising"
"8","unless otherwise required by law.","Legal requirement"
"9","online identities and use social networking tools, which can include befriending other users, updating profile information, posting comments on other users' profiles and identifying pieces of content as something of interest.","Additional service/feature"
"9","When you take advantage of these site features,","Additional service/feature"
"10","hen posting a user name or e-mail address on bulletin boards or in other user-posted content areas that information, along with any information in their postings,","Additional service/feature"
"10","on bulletin boards or in other user-posted content areas","Additional service/feature"
"11","promoting Randall Family, LLC publications, in print or online","Unspecified"
"11","he purposes of promoting Randall Family, LLC publications, in print or online. T","Marketing"
"11","or the purposes of promoting Randall Family, LLC publications,","Marketing"
"13","serve ads","Advertising"
"13","serve ads","Advertising"
"13","serve ads","Advertising"
"13","provide advertisements about goods and services of interest to yo","Advertising"
"13","advertisements","Advertising"
"13","advertisements","Advertising"
