"0","intended purpose","Unspecified"
"0","required by law","Legal requirement"
"0","carry out your requests","Basic service/feature"
"0","We will only use the personal information you provide for its intended purpose","Unspecified"
"0","We will only use the personal information you provide for its intended purpose","Unspecified"
"0","We will only disclose personal information to a government agency if required by law.","Legal requirement"
"0","We will only disclose personal information to a government agency if required by law.","Legal requirement"
"0","if required by law","Legal requirement"
"0","to carry out your requests; these third parties follow our privacy policy or prominently display their own.","Additional service/feature"
"4","The Library of Congress strives to provide the best experience for our Web and SMS users.","Unspecified"
"5","improve our website design, presentation and system performance","Analytics/Research"
"5","This information allows us to improve our website design, presentation and system performance","Analytics/Research"
"6","we can send you the Library Alerts","Basic service/feature"
"7","analyze and report on aggregated web metrics data","Analytics/Research"
"8","allow the site to remember specific information","Basic service/feature"
"9","technical purposes such as to enable you to more easily navigate throughout the Library's websites","Basic service/feature"
"9","for technical purposes such as to enable you to more easily navigate throughout the Library's websites.","Personalization/Customization"
"10","improve our web metrics by distinguishing between new and returning visitors; to prevent repeated prompting to complete our customer satisfaction survey,","Basic service/feature"
"10","improve our web metrics by distinguishing between new and returning visitors; to prevent repeated prompting to complete our customer satisfaction survey,","Basic service/feature"
"10","The Library uses persistent cookies to improve our web metrics by distinguishing between new and returning visitors; to prevent repeated prompting to complete our customer satisfaction survey, to anonymously aggregate data on how visitors use our sites and to ""remember"" preferences that you voluntarily provide in order to create a more seamless experience.","Analytics/Research"
"11","personalize and improve your online experience on a particular Library website","Personalization/Customization"
"12","making a purchase from the Library's online gift shop, requesting a response on a feedback form","Basic service/feature"
"12","participating in the Library's wikis or blog areas","Additional service/feature"
"12","Examples include making a purchase from the Library's online gift shop, requesting a response on a feedback form and participating in the Library's wikis or blog areas.","Additional service/feature"
"13","fulfill your online order, or provide you with requested information or email updates, to collect your voluntarily provided feedback.","Basic service/feature"
"13","fulfill your online order, or provide you with requested information or email updates, to collect your voluntarily provided feedback.","Basic service/feature"
"13","in order to better serve you, for example, to fulfill your online order, or provide you with requested information or email updates, to collect your voluntarily provided feedback.","Basic service/feature"
"13","in order to better serve you, for example, to fulfill your online order, or provide you with requested information or email updates, to collect your voluntarily provided feedback.","Basic service/feature"
"20","obtain feedback and data on visitors' satisfaction","Analytics/Research"
"20","to collect opinions and feedback from a random sample of visitors.","Analytics/Research"
"0","We will only use the personal information you provide for its intended purpose.","Unspecified"
"0","if required by law.","Legal requirement"
"0","to carry out your requests;","Service operation and security"
"2","for commercial marketing use:","Marketing"
"2","Information Collected for Measurement","Analytics/Research"
"2","Customization","Personalization/Customization"
"4","The Library of Congress strives to provide the best experience for our Web and SMS users.","Unspecified"
"4","The Library of Congress strives to provide the best experience for our Web and SMS users.","Unspecified"
"4","The Library of Congress strives to provide the best experience for our Web and SMS users.","Unspecified"
"4","The Library of Congress strives to provide the best experience for our Web and SMS users.","Unspecified"
"4","The Library of Congress strives to provide the best experience for our Web and SMS users.","Unspecified"
"5","allows us to improve our website design, presentation and system performance.","Analytics/Research"
"6","so we can send you the Library Alerts.","Additional service/feature"
"6","so we can send you the Library Alerts.","Additional service/feature"
"8","""Cookies"" are small files that a website transfers to your computer to allow the site to remember specific information.","Personalization/Customization"
"8","While you will still be able to access most features of the Library's websites, certain features may not work as well or may be unavailable to you.","Basic service/feature"
"9","for technical purposes","Unspecified"
"9","to enable you to more easily navigate throughout the Library's websites.","Personalization/Customization"
"10","to improve our web metrics by distinguishing between new and returning visitors;","Analytics/Research"
"10","to prevent repeated prompting to complete our customer satisfaction survey,","Service Operation and Security"
"10","to anonymously aggregate data","Analytics/Research"
"10","to ""remember"" preferences that you voluntarily provide in order to create a more seamless experience.","Personalization/Customization"
"11","to personalize and improve your online experience on a particular Library website.","Personalization/Customization"
"12","participating in the Library's wikis or blog areas","Additional service/feature"
"13","Occasionally, we may associate or contract with third parties in order to better serve you, for example, to fulfill your online order, or provide you with requested information or email updates, to collect your voluntarily provided feedback.","Service operation and security"
"13","for authorized government law enforcement activities,","Legal requirement"
"13","in order to better serve you, for example, to fulfill your online order, or provide you with requested information or email updates, to collect your voluntarily provided feedback.","Service operation and security"
"15","For example, in our Lifelong Literacy area, children can create an online picture postcard and email it to a friend. In order to send the online postcard,","Additional service/feature"
"17","if it is necessary to protect the child or the site itself,","Service operation and security"
"17","to respond to law enforcement.","Legal requirement"
"20","The Library uses various types of online forms and surveys to collect opinions and feedback","Analytics/Research"
"20","allowing you to provide feedback.","Analytics/Research"
"21","to recognize that you have been invited to complete the survey and block subsequent prompts.","Service operation and security"
"21","to recognize that you have been invited to complete the survey and block subsequent prompts.","Service operation and security"
