"4","used to identify, locate, or contact an individual,","Other"
"5","allows us to communicate with you","Basic service/feature"
"6","needed to process payments such as your credit or debit card number, expiration date, and card verification number.","Basic service/feature"
"7","helps us with the administration and personalization of your personal profiles or services","Personalization/Customization"
"10","for recruitment purposes","Other"
"11","for functionality of certain services, which generally includes survey data (questions and responses) and may allow you to import email addresses and names for ease of allowing you to send surveys or to allow us to send surveys on your behalf","Additional service/feature"
"12","for functionality of certain services to connect you with your healthcare provider, and may include your medical history, present symptoms, future conditions or treatments, insurance carrier and plan, and any other medical and health information you or your healthcare provider choose to share with us.","Additional service/feature"
"13","to schedule an appointment or consultation using one of our online appointment or consultation services and includes the requested appointment information, which may be linked with health or legal related information that you choose to share with us.","Additional service/feature"
"15","help us with administration of our sites and services","Basic service/feature"
"18","to enable site features such as geographically specific pricing or logging","Basic service/feature"
"18","retrieving and providing analysis of data you choose to enter into the site","Analytics/Research"
"19","to send you important notices, such as communications about changes to your account, and our sites. and services' terms, conditions, or policies,","Basic service/feature"
"20","to improve our sites and services and customize your user experience,","Analytics/Research"
"21","enable you to communicate with other site or service users via private messaging or other service specific communication channels","Additional service/feature"
"22","to contact you via email, telephone, text or chat","Basic service/feature"
"23","to meet contractual obligations","Service Operation and Security"
"24","to send you reminders, technical notices, updates, security alerts, support and administrative messages, and service bulletins","Basic service/feature"
"25","to inform you about new products or promotional offers, or other opportunities which we feel will be of interest to you","Marketing"
"25","provide advertisements to you through our sites, email messages, text messages, applications, or other methods of communication,","Advertising"
"26","to manage our sites. and services' administration, forum management, or fulfillment,","Basic service/feature"
"27","to provide customer service and technical support,","Basic service/feature"
"28","to administer surveys, sweepstakes, giveaways, contests, or similar promotions or events sponsored by us or our partners,","Marketing"
"29","to prevent fraud or potentially illegal activities, enforce our sites' terms of use","Service Operation and Security"
"29","to comply with applicable law,","Legal requirement"
"30","auditing, data analysis, and research to improve our products, services, and communications,","Analytics/Research"
"31","to allow you to apply for a job or sign up for special offers from third parties through our sites,","Additional service/feature"
"32","contact or schedule an appointment with a healthcare provider or legal professional listed in one of our directories and remind you of upcoming or follow-up appointments,","Additional service/feature"
"33","to perform services in conjunction with interactive tools, such as integrating practice management systems, making a referral, sending a prescription to a pharmacy, or sending a test to a clinical laboratory","Additional service/feature"
"34","statistical research on individual or aggregate trends.","Analytics/Research"
"36","following circumstances:","Unspecified"
"37","to perform services on our behalf","Basic service/feature"
"39","to operate our sites and perform our services","Service Operation and Security"
"39","to operate our sites and perform our services","Service Operation and Security"
"39","to operate our sites and perform our services","Service operation and security"
"39","to operate our sites and perform our services","Service operation and security"
"40","to satisfy any applicable laws or regulations,","Legal requirement"
"41","to defend ourselves in litigation or a regulatory action,","Legal requirement"
"42","to protect the rights or property of Internet Brands and our subsidiaries and corporate affiliates, including to enforce our sites. or services' terms of use,","Service Operation and Security"
"43","when we have a good faith belief that we are required to disclose the information in response to legal process (for example, a subpoena, court order, or search warrant","Legal requirement"
"44","where we believe our sites and services are being used in the commission of a crime, including to report such criminal activity or to exchange information with other companies and organizations for the purposes of fraud protection and risk management","Service Operation and Security"
"45","we have a good faith belief that there is an emergency that poses a threat to the health and/or safety of you, another person, or the public generally","Other"
"46","In the event of a merger, acquisition, debt financing, restructure, sale of Internet Brands' assets by or with another company, or a similar corporate transaction takes place","Merger/Acquisition"
"49","for any other purpose(s)","Unspecified"
"49","for any other purpose(s)","Unspecified"
"50","in order to serve content to it.","Basic service/feature"
"50","in order to serve content to it.","Basic service/feature"
"50","in order to serve content to it.","Basic service/feature"
"51","who will use the data to optimize who else they refer to our site(s)","Marketing"
"51","help us deliver ads to you","Advertising"
"52","to help us recognize you across different sites and services, improve your experience","Personalization/Customization"
"52","increase security","Service Operation and Security"
"52","measure use and effectiveness of our services","Analytics/Research"
"52","serve advertising","Advertising"
"70","Requested communications","Additional service/feature"
"70","Requested communications","Additional service/feature"
"70","Requested communications","Additional service/feature"
"72","information about products, services, and/or support and may include special offers, new product information, or invitations to participate in market research.","Marketing"
"72","information about products, services, and/or support and may include special offers, new product information, or invitations to participate in market research.","Marketing"
"72","information about products, services, and/or support and may include special offers, new product information, or invitations to participate in market research.","Marketing"
"74","to manage credit card and payment processing","Basic service/feature"
"3","as described in this privacy policy","Unspecified"
"3","as described in this privacy policy","Unspecified"
"3","as described in this privacy policy","Unspecified"
"4","When you interact with our sites and services, depending on the site or service, we may ask for the following personal information directly from you:","Unspecified"
"5","allows us to communicate with you","Basic service/feature"
"5","allows us to communicate with you","Basic service/feature"
"6","Payment Information needed to process payments such as your credit or debit card number, expiration date, and card verification number.","Unspecified"
"7","helps us with the administration","Basic service/feature"
"7","helps us with the administration and personalization of your personal profiles or services","Basic service/feature"
"7","helps us with the administration and personalization of your personal profiles or services","Basic service/feature"
"7","helps us with the administration and personalization of your personal profiles or services","Basic service/feature"
"8","Transaction Information about how you interact with and use our sites and services, email, other communications, and applications; and how you interact with merchants, business partners, and service providers.","Unspecified"
"10","for recruitment purposes","Other"
"10","for recruitment purposes","Other"
"10","for recruitment purposes","Other"
"11","for functionality of certain services,","Service Operation and Security"
"11","may allow you to import email addresses and names for ease of allowing you to send surveys or to allow us to send surveys on your behalf.","Basic service/feature"
"12","for functionality of certain services to connect you with your healthcare provider,","Service Operation and Security"
"12","for functionality of certain services to connect you with your healthcare provider,","Service Operation and Security"
"13","to schedule an appointment or consultation using one of our online appointment or consultation services","Additional service/feature"
"13","to schedule an appointment or consultation using one of our online appointment or consultation services","Additional service/feature"
"15","help us with administration of our sites and services","Service Operation and Security"
"15","help us with administration of our sites and services","Service Operation and Security"
"16","In each of the above instances","Unspecified"
"16","In each of the above instances","Unspecified"
"18","to enable site features such as geographically specific pricing or logging,","Basic service/feature"
"18","retrieving and providing analysis of data","Analytics/Research"
"19","to send you important notices, such as communications about changes to your account, and our sites. and services' terms, conditions, or policies,","Basic service/feature"
"20","to solicit input and feedback to improve our sites and services and customize your user experience,","Analytics/Research"
"21","to enable you to communicate with other site or service users via private messaging or other service specific communication channels,","Additional service/feature"
"22","to contact you via email, telephone, text or chat in a manner required by law,","Legal requirement"
"23","to meet contractual obligations,","Legal requirement"
"24","to send you reminders, technical notices, updates, security alerts, support and administrative messages, and service bulletins,","Service Operation and Security"
"25","to inform you about new products or promotional offers, or other opportunities which we feel will be of interest to you","Marketing"
"25","to provide advertisements","Advertising"
"26","to manage our sites. and services' administration, forum management, or fulfillment,","Service Operation and Security"
"27","to provide customer service and technical support,","Basic service/feature"
"28","to administer surveys, sweepstakes, giveaways, contests, or similar promotions or events sponsored by us or our partners,","Marketing"
"29","to prevent fraud or potentially illegal activities, enforce our sites' terms of use or to comply with applicable law","Legal requirement"
"30","for internal purposes such as auditing, data analysis, and research to improve our products, services, and communications,","Analytics/Research"
"31","to allow you to apply for a job or sign up for special offers from third parties through our sites,","Additional service/feature"
"32","to help you contact or schedule an appointment with a healthcare provider or legal professional listed in one of our directories and remind you of upcoming or follow-up appointments,","Additional service/feature"
"33","to perform services in conjunction with interactive tools, such as integrating practice management systems, making a referral, sending a prescription to a pharmacy, or sending a test to a clinical laboratory, and","Additional service/feature"
"34","to run (or authorize third parties to run) statistical research on individual or aggregate trends.","Analytics/Research"
"34","to run (or authorize third parties to run) statistical research on individual or aggregate trends.","Analytics/Research"
"35","for other purposes that are disclosed to you at the time we collect the information, or with your consent.","Unspecified"
"36","following circumstances:","Unspecified"
"37","analytics and data analysis,","Analytics/Research"
"37","maintenance services, hosting, data storage, security","Service operation and security"
"37","payment processing,","Basic service/feature"
"37","assisting in marketing efforts, email and text message distribution, customer service, providing certain interactive tools, and conducting surveys and sweepstakes.","Marketing"
"38","you choose to schedule through the services.","Additional service/feature"
"38","you choose to schedule through the services.","Additional service/feature"
"39","as necessary to operate our sites and perform our services","Service operation and security"
"39","as necessary to operate our sites and perform our services","Service operation and security"
"40","to satisfy any applicable laws or regulations,","Legal requirement"
"41","to defend ourselves in litigation or a regulatory action,","Legal requirement"
"42","in order to protect the rights or property of Internet Brands and our subsidiaries and corporate affiliates, including to enforce our sites. or services' terms of use,","Service operation and security"
"43","when we have a good faith belief that we are required to disclose the information in response to legal process (for example, a subpoena, court order, or search warrant),","Legal requirement"
"44","where we believe our sites and services are being used in the commission of a crime, including to report such criminal activity or to exchange information with other companies and organizations for the purposes of fraud protection and risk management, and","Legal requirement"
"45","when we have a good faith belief that there is an emergency that poses a threat to the health and/or safety of you, another person, or the public generally.","Service operation and security"
"46","In the event of a merger, acquisition, debt financing, restructure, sale of Internet Brands' assets by or with another company, or a similar corporate transaction takes place, we may need to disclose and transfer all information about you, including personal information, to the successor company.","Merger/Acquisition"
"47","We may share information about you with Internet Brands' subsidiaries and affiliates.","Unspecified"
"49","for any other purpose(s)","Unspecified"
"49","for any other purpose(s)","Unspecified"
"50","when you use our sites and services","Unspecified"
"50","our servers receive and automatically collect information about your computer and browser, including, for instance, your IP address, browser type, domain name from which you accessed the site or service, and other software or hardware information.","Unspecified"
"50","our servers receive and automatically collect information about your computer and browser, including, for instance, your IP address, browser type, domain name from which you accessed the site or service, and other software or hardware information.","Unspecified"
"50","in order to serve content to it.","Basic service/feature"
"50","in order to serve content to it.","Basic service/feature"
"50","in order to serve content to it.","Basic service/feature"
"51","who will use the data to optimize who else they refer to our site(s)","Analytics/Research"
"51","partners who help us deliver ads to you on websites not controlled by us","Advertising"
"51","marketing partner uses that to optimize what traffic they send to us","Marketing"
"51","when we create a re-targeting list through DFP Small Business by Google or placing a partners. pixel on our sites, and then delivering targeted ads across the Internet.","Advertising"
"52","serve advertising.","Advertising"
"54","the course of (i) contributing user generated content (for instance articles, blogs, surveys, reviews, ratings, or podcasts), (ii) communicating with others in our online forums, communities, or chat rooms, (iii) creating user profiles for public view, or (iv) posting images, photos, or videos.","Additional service/feature"
"55","in the course of interacting in these public activities","Additional service/feature"
"61","ou can manage certain aspects of information collection and use by going to the settings of your mobile device and reviewing the permissions of each application. You may stop further use of your geo-location by visiting your device's settings for the relevant application.","Unspecified"
"61","ou can manage certain aspects of information collection and use by going to the settings of your mobile device and reviewing the permissions of each application. You may stop further use of your geo-location by visiting your device's settings for the relevant application.","Unspecified"
"62","You may change your email preferences at any time by visiting your email preferences page for the relevant site.","Unspecified"
"70","After you request such communications, you may ""opt out"" of receiving them by using one of the following methods:","Marketing"
"70","After you request such communications, you may ""opt out"" of receiving them by using one of the following methods:","Marketing"
"70","After you request such communications, you may ""opt out"" of receiving them by using one of the following methods:","Marketing"
"70","After you request such communications, you may ""opt out"" of receiving them by using one of the following methods:","Marketing"
"71","Communications that are sent by or on behalf of a user are indicated as being ""From"" that user. Communications that are sent by us are indicated as being from us or one of our account or support specialists assigned to assist you. Either type of communication may be ""real time"" communications or communications triggered automatically upon the occurrence of certain events or dates, such as appointment reminders. Email communications received from users and our administrative announcements are often transactional or relationship messages, such as appointment requests, reminders and cancellations","Other"
"72","General communications provide information about products, services, and/or support and may include special offers, new product information, or invitations to participate in market research.","Marketing"
"72","General communications provide information about products, services, and/or support and may include special offers, new product information, or invitations to participate in market research.","Marketing"
"72","General communications provide information about products, services, and/or support and may include special offers, new product information, or invitations to participate in market research.","Marketing"
"86","We may also provide social media features on our sites and services that enable you to share personal information with your social network(s) and to interact with our sites and services.","Additional service/feature"
"88","behalf of, or to provide services to","Basic service/feature"
"88","(i) for our internal management and administration;","Service operation and security"
"88","(ii) to carry out our legal responsibilities;","Legal requirement"
