"2","The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services"").","Basic service/feature"
"5","Information We Collect How We Use Personal Information We Collect How We May Disclose Personal Information We Collect How We May Use or Disclose Other Information We Collect","Unspecified"
"5","Cookies","Unspecified"
"6","(for account administration","Basic service/feature"
"6","administration of certain promotional events.","Marketing"
"6","(for account administration","Basic service/feature"
"6","administration of certain promotional events.","Marketing"
"6","necessary for the administration of certain promotional events.","Marketing"
"6","Whether you access our Online Services from your computer, smart phone, tablet or other mobile device, NOTMC and its agents may collect some information that identifies you or relates to you as an individual (""Personal Information""), such as your name, mailing address, telephone number, e-mail address, user name and password (for account administration), device ID, including IP address, geolocation (if using a mobile application and you consent to providing it), and additional personal information necessary for the administration of certain promotional events.","Marketing"
"6","Whether you access our Online Services from your computer, smart phone, tablet or other mobile device, NOTMC and its agents may collect some information that identifies you or relates to you as an individual (""Personal Information""), such as your name, mailing address, telephone number, e-mail address, user name and password (for account administration), device ID, including IP address, geolocation (if using a mobile application and you consent to providing it), and additional personal information necessary for the administration of certain promotional events.","Marketing"
"6","Whether you access our Online Services from your computer, smart phone, tablet or other mobile device, NOTMC and its agents may collect some information that identifies you or relates to you as an individual (""Personal Information""), such as your name, mailing address, telephone number, e-mail address, user name and password (for account administration), device ID, including IP address, geolocation (if using a mobile application and you consent to providing it), and additional personal information necessary for the administration of certain promotional events.","Advertising"
"6","for the administration of certain promotional events.","Marketing"
"6","for the administration of certain promotional events.","Marketing"
"8","purposes described in this Privacy Policy or as otherwise disclosed to you through our Online Services. For example, we may use Personal Information:","Other"
"8","for purposes described in this Privacy Policy","Unspecified"
"9","to process and manage your requests for products and services","Basic service/feature"
"9","to process and manage your requests for products and services","Marketing"
"9","to process and manage your requests for products and services","Basic service/feature"
"10","respond to and/or fulfill your inquiries or requests","Basic service/feature"
"10","post your comments, ratings or statements on message boards or in our online discussion areas or forums","Additional service/feature"
"10","respond to and/or fulfill your inquiries or requests, and to post your comments, ratings or statements on message boards or in our online discussion areas or forums","Basic service/feature"
"10","respond to and/or fulfill your inquiries or requests","Basic service/feature"
"10","to post your comments, ratings or statements on message boards or in our online discussion areas or forums","Additional service/feature"
"11","create and deliver personalized promotions","Marketing"
"11","create and deliver personalized promotions","Advertising"
"11","create and deliver personalized promotions","Basic service/feature"
"11","create and deliver personalized promotions","Basic service/feature"
