"1","email broadcasts utilizing tailored information upon the request of a visitor","Personalization/Customization"
"1","email broadcasts utilizing tailored information upon the request of a visitor","Personalization/Customization"
"1","email broadcasts utilizing tailored information upon the request of a visitor","Personalization/Customization"
"1","is available only to specific Marketing Managers at Mohegan Sun","Marketing"
"1","is available only to specific Marketing Managers at Mohegan Sun","Marketing"
"1","email broadcasts utilizing tailored information upon the request of a visito","Basic service/feature"
"1","email broadcasts utilizing tailored information upon the request of a visito","Basic service/feature"
"1","arketing Managers","Marketing"
"1","Marketing Managers at Mohe","Marketing"
"1","Marketing Managers","Marketing"
"2","patrons may sign up to become a Momentum member upon visiting Mohegan Sun.","Additional service/feature"
"2","collected at any Player's Club booth","Additional service/feature"
"2","Momentum membe","Additional service/feature"
"2","Momentum member","Additional service/feature"
