"27","delete the information provided after your request has been fulfilled.","Limited"
"38","we keep track of past transactions for as long as is reasonably necessary, you cannot delete information associated with past transactions on this Website. In addition, it may be impossible to completely delete your information without some residual information because of backups.","Other"
"41","as long as your account is active or as needed to provide you Services","Limited"
"41","as long as your account is active or as needed to provide you Services","Limited"
"48","as long as needed","Limited"
"10","Where we store data","Unspecified"
"17","stored at","Unspecified"
"17","the fulfilment of your order,","Unspecified"
"17","the processing of your payment details","Unspecified"
"17","he provision of support services","Unspecified"
"17","By submitting your personal data, you agree to this transfer, storing or processing. lynda.com will take all steps reasonably necessary to ensure that your data is treated securely and in accordance with this Privacy Policy.","Unspecified"
"27","delete the information provided after your request has been fulfilled.","Stated Period"
"27","delete the information provided after your request has been fulfilled.","Stated Period"
"38","because we keep track of past transactions for as long as is reasonably necessary","Unspecified"
"41","for as long as your account is active or as needed to provide you Services","Other"
"41","We will retain","Unspecified"
"48","as long as needed to provide our services to our client.","Limited"
"48","as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements","Limited"
"72","stores name and email address","Unspecified"
"27","delete the information provided after your request has been fulfilled","Limited"
"41","as long as your account is active or as needed","Stated Period"
"41","as long as your account is active or as needed","Stated Period"
"48","as long as needed to provide our services to our client","Limited"
