"3","as long as required by law","Legal requirement"
"3","National Archives policy","Other"
"3","only as long as required by law","Legal requirement"
"17","accordance with the applicable records schedule","Other"
"21","permanent historical value","Other"
"21","for statistical analysis and technical improvements","Analytics/Research"
"21","if the mail is part of a group of records determined to have permanent historical value.","Other"
"3","required by law and National Archives policy","Legal requirement"
"18","NARA has no control over the third party's use of this information and makes no representations regarding the third party's responsibilities.","Unspecified"
"21","for statistical analysis and technical improvements","Analytics/Research"
"21","if the mail is part of a group of records determined to have permanent historical value.","Other"
