"15","Strong precautions are taken to protect the information of the users of our Site. When users submit sensitive information via the Site, that Information is protected both online and off-line.","Generic"
"16","We take credit card information security seriously and use a variety of technical solutions to make shopping safe at our Site. The Site has security measures in place to protect against the loss, misuse and alteration of the information under our control.","Generic"
"16","Furthermore, your information is encrypted and is protected utilizing the industry standard Secure Sockets Layer (SSL) encryption software. Our secure server software is among the best software available today for secure commerce transactions. We encrypt all of your personal and financial information as it travels over the Internet.","Secure data transfer"
"16","In addition, all of the information of our Site's users, including the sensitive information mentioned above, is maintained in locked, secure facilities, whether on CMCs premises or those of the server providers with which we contract.","Secure data storage"
"2","firm commitment to protecting your information and informing you about how we handle your information","Generic"
"15","Strong precautions are taken to protect the information of the users of our Site. When users submit sensitive information via the Site, that Information is protected both online and off-line.","Generic"
"16","We take credit card information security seriously and use a variety of technical solutions to make shopping safe at our Site. The Site has security measures in place to protect against the loss, misuse and alteration of the information under our control.","Secure data transfer"
"16","In addition, all of the information of our Site's users, including the sensitive information mentioned above, is maintained in locked, secure facilities, whether on CMCs premises or those of the server providers with which we contract.","Secure data storage"
"9","We require these entities not to use your information for any other purpose.","Other"
"15","Strong precautions are taken to protect the information of the users of our Site. When users submit sensitive information via the Site, that Information is protected both online and off-line.","Generic"
"16","We take credit card information security seriously and use a variety of technical solutions to make shopping safe at our Site. The Site has security measures in place to protect against the loss, misuse and alteration of the information under our control.","Generic"
"16","Furthermore, your information is encrypted and is protected utilizing the industry standard Secure Sockets Layer (SSL) encryption software. Our secure server software is among the best software available today for secure commerce transactions. We encrypt all of your personal and financial information as it travels over the Internet.","Secure data transfer"
"16","In addition, all of the information of our Site's users, including the sensitive information mentioned above, is maintained in locked, secure facilities, whether on CMCs premises or those of the server providers with which we contract.","Secure data storage"
