"44","Advertising on third party sites: Bank of America participates in the Digital Advertising Alliance (DAA) self-regulatory program, uses the Advertising Options Icon on our behavioral ads on third party sites (excluding ads appearing on platforms that do not accept the icon) and adheres to the DAA self-regulatory Principles for Online Behavioral Advertising. Anyone receiving a behavioral ad may click on the displayed icon to receive more information and can opt out at that time or by visiting the third party site's privacy policy for an opt out mechanism","Privacy/Security program"
"51","Security To protect Personal Information from unauthorized access and use, we use security measures that comply with applicable federal and state laws. These measures may include device safeguards and secured files and buildings as well as oversight of our third party service providers to ensure information remains confidential and secure. Please visit bankofamerica.com/security for additional information.","Generic"
"51","To protect Personal Information from unauthorized access and use, we use security measures that comply with applicable federal and state laws","Generic"
"51","These measures may include device safeguards and secured files and buildings","Secure data storage"
"51","as well as oversight of our third party service providers to ensure information remains confidential and secure","Privacy review/audit"
"36","We limit access and collection of information for specific purposes by advertising service providers.","Data access limitation"
"38","we limit the use of information by companies that serve our ads.","Data access limitation"
"51","To protect Personal Information from unauthorized access and use, we use security measures that comply with applicable federal and state laws.","Generic"
"51","These measures may include device safeguards and secured files and buildings","Secure data storage"
"51","oversight of our third party service providers to ensure information remains confidential and secure.","Privacy review/audit"
