"1","Groundspeak, Inc. is dedicated to protecting your privacy.","Generic"
"13","Groundspeak has implemented many security measures to protect against the loss, misuse, and alteration of your information.","Generic"
"13","We protect your account information through the use of a password. To protect the confidentiality of your information you MUST keep your password confidential and not disclose it to any other person.","Secure user authentication"
"13","We also work to protect the security of your credit card information during transmission through the use of third party payment processors using Secure Sockets Layer (SSL) software, which encrypts the information you input.","Secure data transfer"
"13","Secure Sockets Layer (SSL)","Secure data transfer"
"13","We protect your account information through the use of a password.","Secure user authentication"
"10","They may have access to personal information needed to perform these functions but will be prohibited from using it for other purposes.","Data access limitation"
"13","Groundspeak has implemented many security measures to protect against the loss, misuse, and alteration of your information.","Generic"
"13","We protect your account information through the use of a password.","Secure user authentication"
"13","We also work to protect the security of your credit card information during transmission through the use of third party payment processors using Secure Sockets Layer (SSL) software, which encrypts the information you input.","Secure data transfer"
