"1","We recognize that the loyalty of our customers depends upon our relationships with them and we strongly support the rights of customers to maintain privacy of personal data. Don't worry, at TGI Fridays, your personal information is safe.","Generic"
"15","We operate secure data networks protected by industry standard firewall and password protection systems. Our security and privacy policies are periodically reviewed and enhanced as necessary","Generic"
"15","only authorized individuals have access to the information provided by our customers.","Data access limitation"
"15","Any particularly sensitive information, such as a customer's credit card number, is encrypted prior to transmission.","Secure data transfer"
"15","We operate secure data networks protected by industry standard firewall and password protection systems.","Secure data storage"
"15","only authorized individuals have access to the information provided by our customers.","Data access limitation"
"15","Any particularly sensitive information, such as a customer's credit card number, is encrypted prior to transmission.","Secure data transfer"
"1","We recognize that the loyalty of our customers depends upon our relationships with them and we strongly support the rights of customers to maintain privacy of personal data. Don't worry, at TGI Fridays, your personal information is safe.","Generic"
"8","each of these vendors may use the information only for the purpose of administering the digital or mobile application and its services for TGI Fridays,","Data access limitation"
"8","will take all necessary precautions to protect the information.","Generic"
"9","At TGI Fridays, your personal information is safe.","Generic"
"15","Our security and privacy policies are periodically reviewed and enhanced as necessary","Privacy review/audit"
"15","only authorized individuals have access to the information provided by our customers.","Data access limitation"
"15","Any particularly sensitive information, such as a customer's credit card number, is encrypted prior to transmission.","Secure data transfer"
"15","To the extent that administration of the program requires us to grant our Service Vendors access to customer information, we insist that they implement similar controls.","Other"
"15","We operate secure data networks protected by industry standard firewall and password protection systems.","Secure data storage"
