"0","Sally Ride Science is committed to protecting the privacy of its customers","Generic"
"8","To protect your daughter's or son's privacy and security, we will take reasonable steps to verify your identity as the child's parent/guardian before granting you access to the personal information that we collect and maintain about your daughter or son.","Secure user authentication"
"9","Sally Ride Science has taken steps to ensure that any information we collect is secure.","Generic"
"9","Our security measures include limiting the number of people who have physical access to our database and servers,","Data access limitation"
"9","utilizing electronic security systems, and using password protections that guard against unauthorized access.","Secure data storage"
"9","We are also sensitive to security concerns regarding the use of credit cards for purchases. We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL) technology that automatically encrypts all data while information is being transmitted over the Internet. Furthermore, we will not keep your credit card number in our database once a transaction is completed.","Secure data transfer"
"8","To protect your daughter's or son's privacy and security, we will take reasonable steps to verify your identity as the child's parent/guardian before granting you access to the personal information that we collect and maintain about your daughter or son.","Generic"
"9","using password protections that guard against unauthorized access. We are also sensitive to security concerns regarding the use of credit cards for purchases. We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL)","Secure data transfer"
"1","We limit the collection, use and disclosure","Data access limitation"
"8","we will take reasonable steps to verify your identity as the child's parent/guardian before granting you access","Secure user authentication"
"9","Sally Ride Science has taken steps to ensure that any information we collect is secure.","Generic"
"9","Our security measures include limiting the number of people who have physical access to our database and servers,","Data access limitation"
"9","using password protections that guard against unauthorized access.","Secure user authentication"
"9","We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL) technology that automatically encrypts all data while information is being transmitted over the Internet.","Secure data transfer"
"9","Furthermore, we will not keep your credit card number in our database once a transaction is completed.","Other"
