"5","We self-certify compliance with the following: the U.S. E.U. Safe Harbor Framework and U.S. Swiss Safe Harbor Framework as set forth by the U.S. Department of Commerce regarding the collection, use and retention of personal data from European Union member countries and Switzerland. lynda.com has certified that it adheres to the Safe Harbor Privacy Principles of notice, choice, onward transfer, security, data integrity, access, and enforcement.","Privacy/Security program"
"17","lynda.com will take all steps reasonably necessary to ensure that your data is treated securely and in accordance with this Privacy Policy.","Generic"
"49","Any payment transactions will be encrypted using Secure Sockets Layer (SSL) technology","Secure data transfer"
"49","All information you provide to us is stored on our secure servers.","Generic"
"50","To make online purchases you must use an SSL-enabled browser in order to protect the confidentiality of your personal and credit card information while it is transmitted over the Internet.","Other"
"51","This password is encrypted.","Secure user authentication"
"54","notify you as promptly as possible","Other"
"2","We are committed to protecting and respecting your privacy.","Generic"
"10","Data Security","Unspecified"
"49","All information you provide to us is stored on our secure servers.","Secure data storage"
"49","Any payment transactions will be encrypted using Secure Sockets Layer (SSL) technology.","Secure data transfer"
"50","To make online purchases you must use an SSL-enabled browser in order to protect the confidentiality of your personal and credit card information while it is transmitted over the Internet.","Secure data transfer"
"51","Access by you to your account is available through a password and/or unique user name selected by you. This password is encrypted. We recommend that you do not divulge your password to anyone, that you change your password often using a combination of letters and numbers, and that you ensure you use a secure web browser. We cannot be held accountable for activity that results from your own neglect to safeguard the secrecy of your password and user name. If you share a computer with anyone, you should always log out of your account after you are finished, in order to prevent access to your information from subsequent users of that computer.","Secure user authentication"
"52","Please notify us as soon as possible if your user name or password is compromised.","Secure user authentication"
"53","Unfortunately, no data transmission over the Internet or any wireless network can be guaranteed to be 100% secure. As a result, while we strive to protect your Personally Identifiable Information, you acknowledge that: (a) there are security and privacy limitations of the Internet which are beyond our control; (b) the security, integrity and privacy of any and all information and data exchanged between you and us through this Website cannot be guaranteed and we shall have no liability to you or any third party for loss, misuse, disclosure or alteration of such information; and (c) any such information and data may be viewed or tampered with in transit by a third party.","Secure data transfer"
"54","In the unlikely event that we believe that the security of your Personally Identifiable Information in our control may have been compromised, we will notify you as promptly as possible under the circumstances","Unspecified"
"5","We self-certify compliance with the following: the U.S. E.U. Safe Harbor Framework and U.S. Swiss Safe Harbor Framework as set forth by the U.S. Department of Commerce regarding the collection, use and retention of personal data from European Union member countries and Switzerland. lynda.com has certified that it adheres to the Safe Harbor Privacy Principles of notice, choice, onward transfer, security, data integrity, access, and enforcement. To learn more about the Safe Harbor program, and to view the lynda.com certification, please visit http://www.export.gov/safeharbor","Other"
"49","stored on our secure servers. Any payment transactions will be encrypted using Secure Sockets Layer (SSL) technology","Secure data transfer"
"50","must use an SSL-enabled browser in order to protect the confidentiality of your personal and credit card information while it is transmitted over the Internet","Secure data transfer"
"51","Access by you to your account is available through a password and/or unique user name selected by you. This password is encrypted.","Secure user authentication"
"53","while we strive to protect your Personally Identifiable Information, you acknowledge that: (a) there are security and privacy limitations of the Internet which are beyond our control; (b) the security, integrity and privacy of any and all information and data exchanged between you and us through this Website cannot be guaranteed and we shall have no liability to you or any third party for loss, misuse, disclosure or alteration of such information; and (c) any such information and data may be viewed or tampered with in transit by a third party.","Other"
"54","ecurity of your Personally Identifiable Information in our control may have been compromised, we will notify you as promptly as possible under the circumstances","Other"
