"5","other third parties","Unnamed third party"
"8","our business partners","Unnamed third party"
"8","our business partners","Unnamed third party"
"8","advertisers","Named third party"
"9","Third Party Advertising","Unspecified"
"10","third-party advertising companies","Named third party"
"11","our third-party advertiser","Named third party"
"21","with our partners and advertisers","Named third party"
"23","We use an outside shipping company","Named third party"
"29","third parties","Unnamed third party"
"29","an intermediary","Unnamed third party"
"38","We use MaxOnline and other third-party advertising companies","Named third party"
"40","third-party advertiser","Named third party"
"5","ith other third parties.","Unnamed third party"
"8","Some of our business partners","Named third party"
"8","Some of our business partners","Named third party"
"10","third-party advertising companies","Named third party"
"11","In the course of serving advertisements to this site, our third-party advertiser","Named third party"
"20","disclose","Unspecified"
"21","with our partners and advertisers","Named third party"
"22","These are the instances in which we will share users personal information:","Unspecified"
"23","with Third Parties","Unnamed third party"
"23","We use an outside shipping company to ship orders","Named third party"
"23","a credit card processing company to bill users for goods and services.","Unnamed third party"
"24","In the event RedOrbit, Inc. goes through a business transition, such as a merger, being acquired by another company, or selling a portion of its assets, users' personal information will, in most instances, be part of the assets transferred.","Unnamed third party"
"29","with third parties","Named third party"
"29","with third parties","Named third party"
"38","These companies","Named third party"
"40","our third-party advertiser","Named third party"
"8","business partners","Unnamed third party"
"9","ad serving software","Named third party"
"10","third-party advertising companies","Named third party"
"11","third-party advertiser","Named third party"
"21","partners and advertisers","Unnamed third party"
"23","outside shipping company","Named third party"
"24","another company","Other part of company/affiliate"
"28","other sites","Unnamed third party"
"38","MaxOnline and other third-party advertising","Named third party"
"40","our third-party advertiser","Named third party"
