"3","third parties","Unnamed third party"
"5","third parties","Unspecified"
"5","third parties who help to complete the purchase transaction (e.g., those who help fulfill orders and process credit card payments).","Unnamed third party"
"5","third parties","Unnamed third party"
"5","third parties","Unnamed third party"
"6","to other users,","Other users"
"6","public","Public"
"10","third party","Unnamed third party"
"11","with advertisers and partners","Named third party"
"11","advertisers and partners","Unnamed third party"
"15","to a reputable third party","Unnamed third party"
"15","reputable third party","Unnamed third party"
"16","Google Analytics","Named third party"
"16","Google Analytics","Named third party"
"21","third-party companies.","Unnamed third party"
"21","third-party companies","Unnamed third party"
"27","third parties","Unnamed third party"
"27","third parties","Unnamed third party"
"29","any third party","Unnamed third party"
"29","any third party","Unnamed third party"
"29","Within SIDEARM Sports","Other part of company/affiliate"
"29","any third party","Unnamed third party"
"31","other companies or businesses","Named third party"
"31","other companies or businesses","Unnamed third party"
"32","partner with hundreds of colleges, universities and high schools","Named third party"
"32","We partner with hundreds of colleges, universities and high schools across North America.","Unnamed third party"
"33","other companies to provide services on our behalf, including credit-card and billing processing, ad serving, shipping, email distribution, list processing and analytics or promotions management.","Named third party"
"33","other companies to provide services on our behalf, including credit-card and billing processing, ad serving, shipping, email distribution, list processing and analytics or promotions management.","Named third party"
"33","other companies to provide services on our behalf, including credit-card and billing processing, ad serving, shipping, email distribution, list processing and analytics or promotions management.","Named third party"
"33","other companies to provide services on our behalf, including credit-card and billing processing, ad serving, shipping, email distribution, list processing and analytics or promotions management.","Named third party"
"33","Service Providers","Unnamed third party"
"33","Service Providers","Unnamed third party"
"33","Service Providers","Unnamed third party"
"33","Service Providers","Unnamed third party"
"34","to third parties","Unnamed third party"
"34","third parties","Unnamed third party"
"34","third parties","Unnamed third party"
"35","any third party","Unnamed third party"
"39","with third parties,","Unnamed third party"
"39","with third parties,","Unnamed third party"
"39","third parties","Unnamed third party"
"40","with others","Unspecified"
"42","third parties.","Unnamed third party"
"3","third parties","Unnamed third party"
"3","third parties","Unnamed third party"
"5","third parties","Unnamed third party"
"5","third parties","Unnamed third party"
"5","third parties who help to complete the purchase transaction (e.g., those who help fulfill orders and process credit card payments).","Named third party"
"6","other users","Other users"
"6","public","Public"
"6","public","Public"
"6","other users","Other users"
"6","public","Public"
"6","public","Public"
"7","other websites","Unnamed third party"
"9","AddThis","Named third party"
"10","third party","Unnamed third party"
"11","advertisers","Named third party"
"11","partners","Unnamed third party"
"11","advertisers","Named third party"
"11","partners","Unnamed third party"
"15","to a reputable third party","Unnamed third party"
"16","Google Analytics","Named third party"
"21","third-party companies","Unnamed third party"
"21","third-party companies","Unnamed third party"
"21","third-party companies","Unnamed third party"
"21","third-party companies","Unnamed third party"
"21","advertiser","Named third party"
"21","advertiser","Named third party"
"21","advertiser","Named third party"
"21","advertiser","Named third party"
"27","advertisers","Named third party"
"27","advertisers","Named third party"
"29","any third party","Unnamed third party"
"29","any third party","Unnamed third party"
"31","with other companies or businesses.","Unnamed third party"
"32","hundreds of colleges, universities and high schools across North America","Named third party"
"33","other companies to provide services on our behalf, including credit-card and billing processing, ad serving, shipping, email distribution, list processing and analytics or promotions management.","Named third party"
"34","to third parties","Unnamed third party"
"35","any third party","Unnamed third party"
"35","any third party","Unnamed third party"
"39","third parties","Unnamed third party"
"39","third parties","Unnamed third party"
"40","with others","Unnamed third party"
"42","any third parties.","Unnamed third party"
"47","partner schools","Named third party"
