"12","third partie","Unnamed third party"
"12","third parties.","Unnamed third party"
"13","our parent corporation (Amazon.com, Inc.), the subsidiaries it controls","Other part of company/affiliate"
"13","others","Unspecified"
"13","parent corporation (Amazon.com, Inc.), the subsidiaries it controls","Other part of company/affiliate"
"14","We work closely with our affiliated businesses.","Other part of company/affiliate"
"14","Affiliated Businesses","Unnamed third party"
"15","other companies and individuals","Unnamed third party"
"15","other companies and individuals","Unnamed third party"
"15","other companies and individuals","Unnamed third party"
"15","other companies and individuals","Unnamed third party"
"16","other businesses","Unnamed third party"
"16","other businesses","Unnamed third party"
"19","Third-Party Advertisers","Named third party"
"19","third-party advertising","Unnamed third party"
"20","third-party websites and advertisers, or Internet advertising companies working on their behalf","Named third party"
"20","third-party websites and advertisers, or Internet advertising companies working on their behalf,","Named third party"
"20","third-party websites and advertisers","Unnamed third party"
"21","third-party advertising","Named third party"
"12","third parties","Unnamed third party"
"12","to such third parties.","Unnamed third party"
"13","others.","Unnamed third party"
"13","with our parent corporation (Amazon.com, Inc.), the subsidiaries it controls,","Other part of company/affiliate"
"13","as described below.","Unspecified"
"14","affiliated businesses","Other part of company/affiliate"
"15","other companies and individuals","Unnamed third party"
"15","other companies and individuals","Unnamed third party"
"15","other companies and individuals","Unnamed third party"
"16","that business","Unnamed third party"
"18","other companies and organizations","Unnamed third party"
"18","other companies and organizations","Unnamed third party"
"18","other companies and organizations","Unnamed third party"
"18","other companies and organizations","Unnamed third party"
"18","other companies and organizations","Unnamed third party"
"18","other companies and organizations","Unnamed third party"
"19","third-party websites.","Unnamed third party"
"19","to these advertisers","Named third party"
"20","These third-party websites and advertisers, or Internet advertising companies working on their behalf,","Named third party"
"20","These third-party websites and advertisers, or Internet advertising companies working on their behalf,","Named third party"
"20","These third-party websites and advertisers, or Internet advertising companies working on their behalf,","Named third party"
"20","These third-party websites and advertisers, or Internet advertising companies working on their behalf,","Named third party"
"21","to advertisers,","Named third party"
