"4","third-party vendors, such as Google Analytics,","Named third party"
"4","Google Analytics","Named third party"
"5","Google Analytics","Named third party"
"6","outside the Smithsonian","Unspecified"
"6","outside the Smithsonian","Unnamed third party"
"8","outside vendors to provide certain services, such as companies that process credit card transactions for the Smithsonian.","Named third party"
"8","with other charitable or cultural non-profit organizations.","Named third party"
"8","outside vendors","Unnamed third party"
"8","charitable or cultural non-profit organizations.","Unnamed third party"
"10","to: (1) a Federal, State, or local law enforcement agency","Named third party"
"10","to: (1) a Federal, State, or local law enforcement agency if the Smithsonian becomes aware of a violation or potential violation of law or regulation; (2) a court or party in a court or Federal administrative proceeding if the Smithsonian is a party or in order to comply with a subpoena; (3) a member of the public in response to his or her request for Smithsonian records under Smithsonian Directive 807, available at www.si.edu/ogc; (4) the Department of Justice or in certain legal proceedings when the Smithsonian, an employee of the Smithsonian, or the United States is a party to litigation or has an interest in the litigation and the use of such records is deemed relevant and necessary to the litigation; (5) Smithsonian officials, including the Inspector General, as needed to perform official duties; (6) a Committee of Congress in response to a formal request; (7) protect the security or integrity of the Smithsonian Websites and services; and (8) any other person or entity as required by law.","Named third party"
"10","(1) a Federal, State, or local law enforcement agency if the Smithsonian becomes aware of a violation or potential violation of law or regulation; (2) a court or party in a court or Federal administrative proceeding if the Smithsonian is a party or in order to comply with a subpoena; (3) a member of the public in response to his or her request for Smithsonian records under Smithsonian Directive 807, available at www.si.edu/ogc; (4) the Department of Justice or in certain legal proceedings when the Smithsonian, an employee of the Smithsonian, or the United States is a party to litigation or has an interest in the litigation and the use of such records is deemed relevant and necessary to the litigation; (5) Smithsonian officials, including the Inspector General, as needed to perform official duties; (6) a Committee of Congress in response to a formal request;","Other"
"10","(1) a Federal, State, or local law enforcement agency if the Smithsonian becomes aware of a violation or potential violation of law or regulation; (2) a court or party in a court or Federal administrative proceeding if the Smithsonian is a party or in order to comply with a subpoena; (3) a member of the public in response to his or her request for Smithsonian records under Smithsonian Directive 807, available at www.si.edu/ogc; (4) the Department of Justice or in certain legal proceedings when the Smithsonian, an employee of the Smithsonian, or the United States is a party to litigation or has an interest in the litigation and the use of such records is deemed relevant and necessary to the litigation; (5) Smithsonian officials, including the Inspector General, as needed to perform official duties; (6) a Committee of Congress in response to a formal request;","Other"
"4","use third-party vendors, such as Google Analytics","Named third party"
"8","outside vendors to provide certain services, such as companies that process credit card transactions for the Smithsonian","Unnamed third party"
"8","other charitable or cultural non-profit organizations","Named third party"
"10","(1) a Federal, State, or local law enforcement agency","Named third party"
"10","(1) a Federal, State, or local law enforcement agency","Named third party"
"10","any other person or entity","Unnamed third party"
