"3","to sponsors","Named third party"
"3","and other third parties","Unnamed third party"
"3","and other third parties","Unnamed third party"
"3","and other third parties","Unnamed third party"
"4","with our partners or sponsors.","Named third party"
"5","disclose or sell","Unnamed third party"
"5","disclose or sell","Unnamed third party"
"5","to a successor to our business or to a third party that helps us run Sally Ride Science events and activities (such as a company that hosts our website)","Other part of company/affiliate"
"3","sponsors and other third parties","Unnamed third party"
"4","with our partners or sponsors","Unnamed third party"
"5","third party","Unnamed third party"
"3","sponsors","Named third party"
"3","other third parties","Unnamed third party"
"3","sponsors","Named third party"
"3","other third parties","Unnamed third party"
"3","sponsors","Named third party"
"3","other third parties","Unnamed third party"
"3","sponsors","Named third party"
"3","other third parties","Unnamed third party"
"3","sponsors","Named third party"
"3","other third parties","Unnamed third party"
"4","with our partners or sponsors.","Unnamed third party"
"4","with our partners or sponsors.","Unnamed third party"
"5","to a successor to our business","Other"
"5","or to a third party","Unnamed third party"
