"36","with third parties","Unnamed third party"
"37","third parties","Unnamed third party"
"38","with healthcare providers","Named third party"
"38","with healthcare providers","Named third party"
"38","with healthcare providers","Named third party"
"46","to the successor company","Unnamed third party"
"47","Internet Brands' subsidiaries and affiliates","Other part of company/affiliate"
"48","other companies with which we partner","Unnamed third party"
"51","partners who referred you to our site(s)","Unnamed third party"
"51","partners who referred you to our site(s)","Unnamed third party"
"55","by other users","Other users"
"55","by other users","Other users"
"55","by other users","Other users"
"74","third-party service providers","Unnamed third party"
"34","third parties","Unnamed third party"
"36","with third parties","Unnamed third party"
"37","third parties","Unnamed third party"
"37","third parties","Unnamed third party"
"37","third parties","Unnamed third party"
"37","third parties","Unnamed third party"
"38","healthcare providers y","Named third party"
"38","healthcare providers y","Named third party"
"39","may be disclosed:","Unnamed third party"
"39","may be disclosed:","Unnamed third party"
"40","to satisfy any applicable laws or regulations,","Unnamed third party"
"41","to defend ourselves in litigation or a regulatory action,","Unspecified"
"42","in order to protect the rights or property of Internet Brands and our subsidiaries and corporate affiliates, including to enforce our sites. or services' terms of use,","Unspecified"
"43","when we have a good faith belief that we are required to disclose the information in response to legal process (for example, a subpoena, court order, or search warrant)","Unspecified"
"44","with other companies and organizations","Named third party"
"45","hen we have a good faith belief that there is an emergency that poses a threat to the health and/or safety of you, another person, or the public generally.","Unspecified"
"46","o the successor company.","Named third party"
"47","with Internet Brands' subsidiaries and affiliates.","Other part of company/affiliate"
"49","We may shar","Unspecified"
"49","We may shar","Unspecified"
"51","with partners who referred you to our site(s)","Unnamed third party"
"51","partners","Unnamed third party"
"51","marketing partner","Named third party"
"51","Small Business by Google","Named third party"
"54","publicly","Public"
"55","y other users.","Other users"
"86","social media features","Named third party"
"88","on behalf of, or to provide services to, the healthcare provider according to the Business Associate Agreement.","Named third party"
"88","We may use and disclose","Unspecified"
"88","We may use and disclose","Unspecified"
"88","We may use and disclose","Unspecified"
"34","third parties","Unnamed third party"
"36","third parties","Unnamed third party"
"38","healthcare providers","Named third party"
"38","healthcare providers","Named third party"
"38","healthcare providers","Named third party"
"42","our subsidiaries and corporate affiliates","Other part of company/affiliate"
"44","other companies and organizations","Unnamed third party"
"44","other companies and organizations","Unnamed third party"
"46","successor company","Other"
"46","successor company","Other"
"47","subsidiaries and affiliates","Other part of company/affiliate"
"48","partner","Unnamed third party"
"51","partners","Unnamed third party"
"51","partners","Unnamed third party"
"51","marketing partner","Named third party"
"55","other users","Other users"
"88","healthcare provider and other healthcare providers","Named third party"
"88","healthcare provider","Named third party"
"94","subcontractor","Named third party"
"98","third parties","Unnamed third party"
"98","any third party","Unnamed third party"
"98","our service providers","Other part of company/affiliate"
