"19","your account","User with account"
"19","and your interactions","Unspecified"
"19","your account","User with account"
"19","and your interactions","Unspecified"
"19","and your interactions","Unspecified"
"19","your account","User with account"
"19","and your interactions","Unspecified"
"2","About Customers","Other"
"2","about you","Unspecified"
"2","I","Unspecified"
"3","About Customers","Other"
"3","About Customers","Other"
"3","About Customers","Other"
"6","this information","Unspecified"
"6","this information","Unspecified"
"6","this information","Unspecified"
"6","this information","Unspecified"
"7","customer list","Other"
"10","about our customers","Unspecified"
"10","customer","Other"
"10","customer","Other"
"11","customer","Other"
"11","customer","Other"
"13","Amazon.com customers","Other"
"14","customer","Other"
"14","customer","Other"
"15","from customers","Other"
"27","customer","Other"
"24","require you to Sign in","User without account"
