"3","register on the Site","User with account"
"3","when you register","User with account"
"4","When signing up for, or registering","User with account"
"4","When signing up for, or registering","User with account"
"4","When signing up for, or registering","User with account"
"6","our visitors from Facebook","Other"
"7","you authorize your employees to access those portions of the Site that require a registration","User with account"
"7","While these employees will not need to register","Other"
"7","While these employees will not need to register","Other"
"7","one digital subscription","User with account"
"7","one digital subscription","User with account"
"10","subscribing to our digital subscription","User with account"
