"2","When you log in","User with account"
"2","When you log in to our mobile application,","Other"
"4","the TGI Fridays Give Me More Stripes Guest Recognition Program site ( www.givememorestripes.com) where, should you choose to enroll, you will be asked to submit personal information, which will be subject to the Give Me More Stripes terms and conditions, separate privacy policy and other policies","Other"
"4","the TGI Fridays Give Me More Stripes Guest Recognition Program site ( www.givememorestripes.com) where, should you choose to enroll, you will be asked to submit personal information, which will be subject to the Give Me More Stripes terms and conditions, separate privacy policy and other policies","Other"
"7","website users","Other"
"14","you have opted in to receive email communications from TGI Fridays (and are NOT a Give Me More Stripes member","Other"
"14","you have opted in to receive email communications from TGI Fridays (and are NOT a Give Me More Stripes member","Other"
"4","visitors","User without account"
"4","enroll","User with account"
"4","enroll","User with account"
"7","website users","Unspecified"
"14","(and are NOT a Give Me More Stripes member)","Other"
"14","(and are NOT a Give Me More Stripes member)","Other"
