"2","create an account","User with account"
"3","account","User with account"
"3","account","User with account"
"3","To create an account for the Curse Features","User with account"
"3","n accoun","User with account"
"6","log","User with account"
"8","children under 13","Other"
"18","Account","User with account"
"18","sending us an email to support@curse.com requesting us to update or delete your personal information.","User without account"
"18","account","User with account"
"18","r account preferences","User with account"
"18","r account preferences","User with account"
"18","accessing the ""My Account"" area of the Curse Features","User with account"
"18","our account","User with account"
"19","in your account","User with account"
