"2","user account","User with account"
"2","you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event","Unspecified"
"10","your user account","User with account"
"20","your profile","User with account"
"10","Research user account","User with account"
"10","for a user account","User with account"
"26","users of the site","Other"
"30","and wish to review, update, correct or delete it","Other"
"10","If you register for a Research user account, a cookie will be invoked when you login to your user account","User with account"
"20","member of the FRED Network","User without account"
