"39","lyndaPro member","User with account"
"40","lyndaKiosk, lyndaClassroom, lyndaCampus or lyndaEnterprise","User with account"
"40","lyndaKiosk, lyndaClassroom, lyndaCampus or lyndaEnterprise","User with account"
"9","F YOU DO NOT AGREE TO THIS PRIVACY POLICY, PLEASE DO NOT ACCESS OR USE OUR SERVICES.","Unspecified"
"11","about visitors","Other"
"12","create an account","User with account"
"36","My Account","User with account"
"39","If you are a lyndaPro member","Other"
"40","If you are lyndaKiosk, lyndaClassroom, lyndaCampus or lyndaEnterprise","Other"
"41","your or your childs account","User with account"
"41","your informatio","Unspecified"
"42","that we collect about you or your child","Unspecified"
"42","logging in to your account","User with account"
"42","logging in to your account","User with account"
"42","logging in to your account","User with account"
"43","ou can log into your account","User with account"
"47","An individual","Unspecified"
"47","An individual","Unspecified"
"47","An individual","Unspecified"
"25","existing customer","User without account"
"36","Account","User with account"
"39","My Account","User with account"
"40","lyndaKiosk, lyndaClassroom, lyndaCampus or lyndaEnterprise","User with account"
"42","logging in to your account","User with account"
"42","logging in to your account","User with account"
"43","log into your account","User with account"
